date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,start_order,bib
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1902135,KIM Woojin,Person,KOR,Korea,1.0,686,POINTS,,,8,4B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1902130,KIM Je Deok,Person,KOR,Korea,2.0,682,POINTS,,,10,5B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1553249,UNRUH Florian,Person,GER,Germany,3.0,681,POINTS,,,37,19A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1546108,BOMMADEVARA Dhiraj,Person,IND,India,4.0,681,POINTS,,,24,12B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1902144,LEE Wooseok,Person,KOR,Korea,5.0,681,POINTS,,,12,6B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1541270,ADDIS Baptiste,Person,FRA,France,6.0,678,POINTS,,,11,6A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1955595,ELLISON Brady,Person,USA,United States,7.0,677,POINTS,,,39,20A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1565000,GAZOZ Mete,Person,TUR,Türkiye,8.0,676,POINTS,,,14,7B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1541272,CHIRAULT Thomas,Person,FRA,France,9.0,676,POINTS,,,7,4A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1565002,TUMER Berkim,Person,TUR,Türkiye,10.0,676,POINTS,,,18,9B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1535430,GRANDE Matias,Person,MEX,Mexico,11.0,676,POINTS,,,36,18B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1913369,WANG Yan,Person,CHN,China,12.0,675,POINTS,,,25,13A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1562613,SADIKOV Amirkhon,Person,UZB,Uzbekistan,13.0,674,POINTS,,,61,31A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1546110,RAI Tarundeep,Person,IND,India,14.0,674,POINTS,,,22,11B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1935642,ARCILA Santiago,Person,COL,Colombia,15.0,673,POINTS,,,4,2B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1537163,D'AMOUR Nicholas,Person,ISV,"Virgin Islands, US",16.0,673,POINTS,,,48,24B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1958717,D'ALMEIDA Marcus,Person,BRA,Brazil,17.0,673,POINTS,,,57,29A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1898162,OLARU Dan,Person,MDA,Republic of Moldova,18.0,671,POINTS,,,45,23A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1541275,VALLADONT Jean-Charles,Person,FRA,France,19.0,671,POINTS,,,9,5A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1915454,NESPOLI Mauro,Person,ITA,Italy,20.0,670,POINTS,,,5,3A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1550037,FRANCO Hugo,Person,CUB,Cuba,21.0,669,POINTS,,,44,22B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1931572,ZHANGBYRBAY Dauletkeldi,Person,KAZ,Kazakhstan,22.0,668,POINTS,,,35,18A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1973414,WIJLER Steve,Person,NED,Netherlands,23.0,668,POINTS,,,43,22A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1564630,TAI Yu-Hsuan,Person,TPE,Chinese Taipei,24.0,665,POINTS,,,19,10A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1564628,TANG Chih-Chun,Person,TPE,Chinese Taipei,25.0,665,POINTS,,,21,11A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1913366,KAO Wenchao,Person,CHN,China,26.0,665,POINTS,,,29,15A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1561003,WISE Alex,Person,GBR,Great Britain,27.0,664,POINTS,,,13,7A
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1543012,DORJI Lam,Person,BHU,Bhutan,28.0,663,POINTS,,,42,21B
2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,M,Archery,ARC,Invalides,1931570,ABDULLIN Ilfat,Person,KAZ,Kazakhstan,29.0,663,POINTS,,,31,16A
