date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,start_order,bib
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1896190,DUNKEL Nils,Person,GER,Germany,,13.700,POINTS,,1,139
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1970203,RIJKEN Frank,Person,NED,Netherlands,,13.733,POINTS,,2,168
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1973090,DOLCI Felix,Person,CAN,Canada,,14.366,POINTS,,3,112
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1977699,LANGENEGGER Florian,Person,SUI,Switzerland,,14.133,POINTS,,4,174
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1953618,SOARES Diogo,Person,BRA,Brazil,,14.500,POINTS,,5,108
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1973086,COURNOYER Rene,Person,CAN,Canada,,13.733,POINTS,,6,111
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1551057,MACCHIATI Mario,Person,ITA,Italy,,14.166,POINTS,,1,151
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1941582,MOORE Jesse,Person,AUS,Australia,,14.333,POINTS,,2,103
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1895493,MESZAROS Krisztofer,Person,HUN,Hungary,,14.400,POINTS,,3,144
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1959855,JUDA Paul,Person,USA,United States,,13.733,POINTS,,4,190
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1931576,KARIMI Milad,Person,KAZ,Kazakhstan,,14.400,POINTS,,5,159
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1970210,SCHMIDT Casimir,Person,NED,Netherlands,,14.400,POINTS,,6,169
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1975874,YULO Carlos Edriel,Person,PHI,Philippines,,14.766,POINTS,,1,170
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1551050,ABBADINI Yumin,Person,ITA,Italy,,14.033,POINTS,,2,148
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1897556,VERNIAIEV Oleg,Person,UKR,Ukraine,,14.400,POINTS,,3,188
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1976541,GIUBELLINI Matteo,Person,SUI,Switzerland,,13.800,POINTS,,4,172
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1897555,KOVTUN Illia,Person,UKR,Ukraine,,14.266,POINTS,,5,185
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1959811,RICHARD Frederick,Person,USA,United States,,14.100,POINTS,,6,193
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919480,OKA Shinnosuke,Person,JPN,Japan,,14.300,POINTS,,1,156
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918864,ZHANG Boheng,Person,CHN,China,,14.500,POINTS,,2,118
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904734,FRASER Joe,Person,GBR,Great Britain,,14.333,POINTS,,3,132
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904741,JARMAN Jake,Person,GBR,Great Britain,,15.166,POINTS,,4,134
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918860,XIAO Ruoteng,Person,CHN,China,,14.833,POINTS,,5,117
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL-000001--,GARM1AA,Men's All-Around,Men's All-Around Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919492,HASHIMOTO Daiki,Person,JPN,Japan,,14.766,POINTS,,6,154
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1919480,OKA Shinnosuke,Person,JPN,Japan,1.0,86.832,POINTS,,,156
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1918864,ZHANG Boheng,Person,CHN,China,2.0,86.599,POINTS,0.233,,118
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1918860,XIAO Ruoteng,Person,CHN,China,3.0,86.364,POINTS,0.468,,117
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1897555,KOVTUN Illia,Person,UKR,Ukraine,4.0,86.165,POINTS,0.667,,185
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1904734,FRASER Joe,Person,GBR,Great Britain,5.0,85.532,POINTS,1.300,,132
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1919492,HASHIMOTO Daiki,Person,JPN,Japan,6.0,84.598,POINTS,2.234,,154
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1904741,JARMAN Jake,Person,GBR,Great Britain,7.0,84.565,POINTS,2.267,,134
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1897556,VERNIAIEV Oleg,Person,UKR,Ukraine,8.0,84.399,POINTS,2.433,,188
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1895493,MESZAROS Krisztofer,Person,HUN,Hungary,9.0,83.899,POINTS,2.933,,144
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1976541,GIUBELLINI Matteo,Person,SUI,Switzerland,10.0,83.332,POINTS,3.500,,172
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1551050,ABBADINI Yumin,Person,ITA,Italy,11.0,83.198,POINTS,3.634,,148
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1975874,YULO Carlos Edriel,Person,PHI,Philippines,12.0,83.032,POINTS,3.800,,170
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1970210,SCHMIDT Casimir,Person,NED,Netherlands,13.0,82.498,POINTS,4.334,,169
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1959855,JUDA Paul,Person,USA,United States,14.0,82.197,POINTS,4.635,,190
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1959811,RICHARD Frederick,Person,USA,United States,15.0,82.166,POINTS,4.666,,193
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1977699,LANGENEGGER Florian,Person,SUI,Switzerland,16.0,81.864,POINTS,4.968,,174
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1973086,COURNOYER Rene,Person,CAN,Canada,17.0,81.733,POINTS,5.099,,111
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1896190,DUNKEL Nils,Person,GER,Germany,18.0,81.697,POINTS,5.135,,139
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1551057,MACCHIATI Mario,Person,ITA,Italy,19.0,81.497,POINTS,5.335,,151
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1973090,DOLCI Felix,Person,CAN,Canada,20.0,81.097,POINTS,5.735,,112
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1941582,MOORE Jesse,Person,AUS,Australia,21.0,80.430,POINTS,6.402,,103
