date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,start_order
2024-08-10T16:06:18+02:00,BKGMINDIVID-----------GPA-000100--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group A,Round Robin - Group A,M,Breaking,BKG,La Concorde 1,1953037,SHIGEKIX,Person,JPN,Japan,1,POINTS,,,RED
2024-08-10T16:06:18+02:00,BKGMINDIVID-----------GPA-000100--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group A,Round Robin - Group A,M,Breaking,BKG,La Concorde 1,1955590,VICTOR,Person,USA,United States,1,POINTS,,,BLUE
2024-08-10T16:12:12+02:00,BKGMINDIVID-----------GPA-000200--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group A,Round Robin - Group A,M,Breaking,BKG,La Concorde 1,1909911,LITHE-ING,Person,CHN,China,2,POINTS,,,RED
2024-08-10T16:12:12+02:00,BKGMINDIVID-----------GPA-000200--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group A,Round Robin - Group A,M,Breaking,BKG,La Concorde 1,1953036,HIRO10,Person,JPN,Japan,0,POINTS,,,BLUE
2024-08-10T16:17:33+02:00,BKGMINDIVID-----------GPB-000100--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group B,Round Robin - Group B,M,Breaking,BKG,La Concorde 1,1958888,PHIL WIZARD,Person,CAN,Canada,2,POINTS,,,RED
2024-08-10T16:17:33+02:00,BKGMINDIVID-----------GPB-000100--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group B,Round Robin - Group B,M,Breaking,BKG,La Concorde 1,1880191,DANY DANN,Person,FRA,France,0,POINTS,,,BLUE
2024-08-10T16:23:24+02:00,BKGMINDIVID-----------GPB-000200--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group B,Round Robin - Group B,M,Breaking,BKG,La Concorde 1,1940105,J ATTACK,Person,AUS,Australia,0,POINTS,,,RED
2024-08-10T16:23:24+02:00,BKGMINDIVID-----------GPB-000200--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group B,Round Robin - Group B,M,Breaking,BKG,La Concorde 1,1897536,KUZYA,Person,UKR,Ukraine,2,POINTS,,,BLUE
2024-08-10T16:29:27+02:00,BKGMINDIVID-----------GPC-000100--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group C,Round Robin - Group C,M,Breaking,BKG,La Concorde 1,1955589,JEFFRO,Person,USA,United States,2,POINTS,,,RED
2024-08-10T16:29:27+02:00,BKGMINDIVID-----------GPC-000100--,BKGMINDIVID,B-Boys,B-Boys Round Robin - Group C,Round Robin - Group C,M,Breaking,BKG,La Concorde 1,1880193,LAGAET,Person,FRA,France,0,POINTS,,,BLUE
