date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-29T09:42:35+02:00,FENMFOIL--------------R64-001000--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1888267,CHEN Yi-Tung,Person,TPE,Chinese Taipei,15,POINTS,W,1
2024-07-29T09:42:35+02:00,FENMFOIL--------------R64-001000--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1970300,WAKIM Philippe,Person,LBN,Lebanon,13,POINTS,L,2
2024-07-29T09:42:51+02:00,FENMFOIL--------------R64-003100--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1932764,TOFALIDES Alex,Person,CYP,Cyprus,15,POINTS,W,1
2024-07-29T09:42:51+02:00,FENMFOIL--------------R64-003100--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1894081,WOJTKOWIAK Adrian,Person,POL,Poland,10,POINTS,L,2
2024-07-29T09:43:06+02:00,FENMFOIL--------------R64-000200--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1973203,BROSZUS Blake,Person,CAN,Canada,15,POINTS,W,1
2024-07-29T09:43:06+02:00,FENMFOIL--------------R64-000200--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1550881,SCHEMBRI Kruz,Person,ISV,"Virgin Islands, US",8,POINTS,L,2
2024-07-29T09:45:58+02:00,FENMFOIL--------------R64-001800--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1969353,HEROUI Salim,Person,ALG,Algeria,8,POINTS,L,1
2024-07-29T09:45:58+02:00,FENMFOIL--------------R64-001800--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1894114,JURKIEWICZ Jan,Person,POL,Poland,15,POINTS,W,2
2024-07-29T10:19:11+02:00,FENMFOIL--------------R64-001500--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1973210,GU Daniel,Person,CAN,Canada,15,POINTS,W,1
2024-07-29T10:19:11+02:00,FENMFOIL--------------R64-001500--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 64,Table of 64,M,Fencing,FEN,Grand Palais,1563618,ALVARES de OLIVEIRA Victor,Person,CPV,Cabo Verde,9,POINTS,L,2
2024-07-29T12:27:10+02:00,FENMFOIL--------------R32-000100--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 32,Table of 32,M,Fencing,FEN,Grand Palais,1973203,BROSZUS Blake,Person,CAN,Canada,9,POINTS,L,1
2024-07-29T12:27:10+02:00,FENMFOIL--------------R32-000100--,FENMFOIL,Men's Foil Individual,Men's Foil Individual Table of 32,Table of 32,M,Fencing,FEN,Grand Palais,1924287,MARINI Tommaso,Person,ITA,Italy,15,POINTS,W,2
