date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,start_order,bib
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1897671,TOVKAI Oleksandr,Person,UKR,Ukraine,1.0,245,POINTS,,,27,27
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1932649,ELGENDY Ahmed,Person,EGY,Egypt,2.0,245,POINTS,,,4,4
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1963091,SVECOVS Pavels,Person,LAT,Latvia,3.0,240,POINTS,,,30,30
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1786884,JUN Woongtae,Person,KOR,Korea,4.0,235,POINTS,,,2,2
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1976486,DALLENBACH Alexandre,Person,SUI,Switzerland,5.0,230,POINTS,,,26,26
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1887939,SATO Taishu,Person,JPN,Japan,6.0,230,POINTS,,,13,13
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1566630,UNAL Bugra,Person,TUR,Türkiye,7.0,225,POINTS,,,23,23
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1953666,GUTKOWSKI Lukasz,Person,POL,Poland,8.0,225,POINTS,,,15,15
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1953667,KASPERCZAK Kamil,Person,POL,Poland,9.0,225,POINTS,,,8,8
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1786899,SEO Changwan,Person,KOR,Korea,10.0,225,POINTS,,,7,7
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1545119,PRADES Valentin,Person,FRA,France,11.0,225,POINTS,,,6,6
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1963914,MIHALEV Todor,Person,BUL,Bulgaria,12.0,225,POINTS,,,22,22
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1932880,SHABAN Mohanad,Person,EGY,Egypt,13.0,225,POINTS,,,12,12
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1550544,DOGUE Marvin,Person,GER,Germany,14.0,225,POINTS,,,14,14
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1553033,CICINELLI Matteo,Person,ITA,Italy,15.0,220,POINTS,,,17,17
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1914058,LI Shuhuan,Person,CHN,China,16.0,220,POINTS,,,21,21
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1936694,SZEP Balazs,Person,HUN,Hungary,17.0,215,POINTS,,,3,3
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1553031,MALAN Giorgio,Person,ITA,Italy,18.0,215,POINTS,,,10,10
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1550546,LIEBIG Fabian,Person,GER,Germany,19.0,210,POINTS,,,18,18
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1914059,LUO Shuai,Person,CHN,China,20.0,210,POINTS,,,11,11
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1535363,HERNANDEZ Emiliano,Person,MEX,Mexico,21.0,210,POINTS,,,5,5
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1968201,TORRES Andres,Person,ECU,Ecuador,22.0,205,POINTS,,,25,25
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1545123,MOURCIA Jean-Baptiste,Person,FRA,France,23.0,205,POINTS,,,9,9
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1535729,SERRANO Franco,Person,ARG,Argentina,24.0,200,POINTS,,,31,31
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1954221,FERNANDEZ Andres,Person,GUA,Guatemala,25.0,200,POINTS,,,32,32
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1897675,CHEKAN Vladyslav,Person,UKR,Ukraine,26.0,200,POINTS,,,28,28
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1896125,BROWN Charles,Person,GBR,Great Britain,27.0,195,POINTS,,,20,20
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1535364,CARRILLO Duilio,Person,MEX,Mexico,28.0,195,POINTS,,,33,33
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1896128,CHOONG Joseph,Person,GBR,Great Britain,29.0,195,POINTS,,,24,24
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1936524,BOHM Csaba,Person,HUN,Hungary,30.0,190,POINTS,,,1,1
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1917975,BUSTOS Esteban,Person,CHI,Chile,31.0,190,POINTS,,,29,29
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1925768,VLACH Martin,Person,CZE,Czechia,32.0,185,POINTS,,,16,16
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1571871,YOHUANG Phurit,Person,THA,Thailand,33.0,185,POINTS,,,36,36
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1925762,GRYCZ Marek,Person,CZE,Czechia,34.0,175,POINTS,,,19,19
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1931588,BORODA-DUDOCHKIN Georgiy,Person,KAZ,Kazakhstan,35.0,175,POINTS,,,34,34
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,M,Modern Pentathlon,MPN,North Paris Arena,1893762,ROJAS Marcos,Person,CUB,Cuba,36.0,175,POINTS,,,35,35
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1976486,DALLENBACH Alexandre,Person,SUI,Switzerland,1.0,300,POINTS,,,16,3
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1936524,BOHM Csaba,Person,HUN,Hungary,2.0,300,POINTS,,,5,14
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1925768,VLACH Martin,Person,CZE,Czechia,3.0,300,POINTS,,,4,15
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1963091,SVECOVS Pavels,Person,LAT,Latvia,4.0,300,POINTS,,,17,2
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1931588,BORODA-DUDOCHKIN Georgiy,Person,KAZ,Kazakhstan,5.0,300,POINTS,,,1,18
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1550546,LIEBIG Fabian,Person,GER,Germany,6.0,300,POINTS,,,11,8
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1535363,HERNANDEZ Emiliano,Person,MEX,Mexico,7.0,293,POINTS,,,9,10
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1545123,MOURCIA Jean-Baptiste,Person,FRA,France,8.0,293,POINTS,,,7,12
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1963914,MIHALEV Todor,Person,BUL,Bulgaria,9.0,293,POINTS,,,13,6
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1545119,PRADES Valentin,Person,FRA,France,10.0,293,POINTS,,,14,5
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1553033,CICINELLI Matteo,Person,ITA,Italy,11.0,293,POINTS,,,12,7
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1925762,GRYCZ Marek,Person,CZE,Czechia,12.0,286,POINTS,,,2,17
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1914059,LUO Shuai,Person,CHN,China,13.0,286,POINTS,,,10,9
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1566630,UNAL Bugra,Person,TUR,Türkiye,14.0,283,POINTS,,,15,4
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1968201,TORRES Andres,Person,ECU,Ecuador,15.0,283,POINTS,,,8,11
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1535364,CARRILLO Duilio,Person,MEX,Mexico,16.0,279,POINTS,,,6,13
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1932649,ELGENDY Ahmed,Person,EGY,Egypt,17.0,267,POINTS,,,18,1
2024-08-09T13:41:04+02:00,MPNMINDIVID-----------SFNL0001EQ--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Riding Show Jumping",Riding Show Jumping,M,Modern Pentathlon,MPN,Château de Versailles,1571871,YOHUANG Phurit,Person,THA,Thailand,18.0,245,POINTS,,,3,16
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1932649,ELGENDY Ahmed,Person,EGY,Egypt,,0,POINTS,,,1,1
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1963091,SVECOVS Pavels,Person,LAT,Latvia,,0,POINTS,,,2,2
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1545119,PRADES Valentin,Person,FRA,France,,10,POINTS,,,5,5
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1976486,DALLENBACH Alexandre,Person,SUI,Switzerland,,0,POINTS,,,3,3
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1566630,UNAL Bugra,Person,TUR,Türkiye,,0,POINTS,,,4,4
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1963914,MIHALEV Todor,Person,BUL,Bulgaria,,0,POINTS,,,6,6
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1535363,HERNANDEZ Emiliano,Person,MEX,Mexico,,10,POINTS,,,10,10
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1553033,CICINELLI Matteo,Person,ITA,Italy,,0,POINTS,,,7,7
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1550546,LIEBIG Fabian,Person,GER,Germany,,0,POINTS,,,8,8
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1914059,LUO Shuai,Person,CHN,China,,0,POINTS,,,9,9
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1968201,TORRES Andres,Person,ECU,Ecuador,,2,POINTS,,,11,11
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1545123,MOURCIA Jean-Baptiste,Person,FRA,France,,2,POINTS,,,12,12
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1535364,CARRILLO Duilio,Person,MEX,Mexico,,0,POINTS,,,13,13
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1936524,BOHM Csaba,Person,HUN,Hungary,,4,POINTS,,,14,14
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1925768,VLACH Martin,Person,CZE,Czechia,,2,POINTS,,,15,15
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1571871,YOHUANG Phurit,Person,THA,Thailand,,2,POINTS,,,16,16
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1931588,BORODA-DUDOCHKIN Georgiy,Person,KAZ,Kazakhstan,,2,POINTS,,,18,18
2024-08-09T14:07:36+02:00,MPNMINDIVID-----------SFNL0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Fencing Bonus Round",Fencing Bonus Round,M,Modern Pentathlon,MPN,Château de Versailles,1925762,GRYCZ Marek,Person,CZE,Czechia,,0,POINTS,,,17,17
2024-08-09T14:19:07+02:00,MPNMINDIVID-----------SFNL0001SW01,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Swimming 200m Freestyle Heat 1",Swimming Heat 1,M,Modern Pentathlon,MPN,Château de Versailles,1968201,TORRES Andres,Person,ECU,Ecuador,1.0,1:59.70,TIME,,,1,
2024-08-09T14:19:07+02:00,MPNMINDIVID-----------SFNL0001SW01,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Swimming 200m Freestyle Heat 1",Swimming Heat 1,M,Modern Pentathlon,MPN,Château de Versailles,1925762,GRYCZ Marek,Person,CZE,Czechia,2.0,2:00.60,TIME,,,5,
2024-08-09T14:19:07+02:00,MPNMINDIVID-----------SFNL0001SW01,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Swimming 200m Freestyle Heat 1",Swimming Heat 1,M,Modern Pentathlon,MPN,Château de Versailles,1571871,YOHUANG Phurit,Person,THA,Thailand,3.0,2:02.18,TIME,,,6,
2024-08-09T14:19:07+02:00,MPNMINDIVID-----------SFNL0001SW01,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Swimming 200m Freestyle Heat 1",Swimming Heat 1,M,Modern Pentathlon,MPN,Château de Versailles,1535364,CARRILLO Duilio,Person,MEX,Mexico,4.0,2:07.39,TIME,,,4,
2024-08-09T14:19:07+02:00,MPNMINDIVID-----------SFNL0001SW01,MPNMINDIVID,Men's Individual,"Men's Individual, Semi-final A, Swimming 200m Freestyle Heat 1",Swimming Heat 1,M,Modern Pentathlon,MPN,Château de Versailles,1925768,VLACH Martin,Person,CZE,Czechia,5.0,2:07.93,TIME,,,2,
