date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,result_IRM,qualification_mark,start_order,bib
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892022,ANRAKU Sorato,Person,JPN,Japan,1.0,69.0,POINTS,,,,20,1
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892024,NARASAKI Tomoa,Person,JPN,Japan,2.0,54.4,POINTS,,,,17,4
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544218,ROBERTS Toby,Person,GBR,Great Britain,3.0,54.1,POINTS,,,,19,2
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553677,AVEZOU Sam,Person,FRA,France,4.0,49.2,POINTS,,,,12,9
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1894103,ONDRA Adam,Person,CZE,Czechia,5.0,48.7,POINTS,,,,13,8
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1560677,SCHUBERT Jakob,Person,AUT,Austria,6.0,44.7,POINTS,,,,18,3
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1942760,Van DUYSEN Hannes,Person,BEL,Belgium,7.0,34.3,POINTS,,,,6,15
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544214,McARTHUR Hamish,Person,GBR,Great Britain,8.0,34.2,POINTS,,,,3,18
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553674,JENFT Paul,Person,FRA,France,9.0,34.1,POINTS,,,,9,12
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1931180,LEE Dohyun,Person,KOR,Korea,10.0,34.0,POINTS,,,,16,5
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950301,DUFFY Colin,Person,USA,United States,11.0,33.8,POINTS,,,,15,6
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1552087,FLOHE Yannick,Person,GER,Germany,12.0,29.7,POINTS,,,,11,10
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1913696,PAN Yufei,Person,CHN,China,13.0,29.0,POINTS,,,,5,16
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1963915,GINES LOPEZ Alberto,Person,ESP,Spain,14.0,28.7,POINTS,,,,8,13
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1552086,MEGOS Alexander,Person,GER,Germany,15.0,24.7,POINTS,,,,14,7
