date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_WLT,bib
2024-08-09T11:27:40+02:00,WREMFS125KG-----------8FNL000100--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1543088,ZARE Amir Hossein,Person,IRI,IR Iran,5,W,1
2024-08-09T11:27:40+02:00,WREMFS125KG-----------8FNL000100--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1955904,LAZAREV Aiaal,Person,KGZ,Kyrgyzstan,0,L,9
2024-08-09T11:36:28+02:00,WREMFS125KG-----------8FNL000200--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1967710,DHESI Amarveer,Person,CAN,Canada,2,W,10
2024-08-09T11:36:28+02:00,WREMFS125KG-----------8FNL000200--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1919998,DENG Zhiwei,Person,CHN,China,1,L,8
2024-08-09T11:41:22+02:00,WREMFS125KG-----------8FNL000300--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1911553,LIGETI Daniel,Person,HUN,Hungary,11,W,5
2024-08-09T11:41:22+02:00,WREMFS125KG-----------8FNL000300--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1568156,MUTUWA Ashton Adeyemi,Person,NGR,Nigeria,0,L,11
2024-08-09T11:51:36+02:00,WREMFS125KG-----------8FNL000400--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1551794,SMITH Jonovan Darius,Person,PUR,Puerto Rico,0,L,12
2024-08-09T11:51:36+02:00,WREMFS125KG-----------8FNL000400--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1570546,AKGUL Taha,Person,TUR,Türkiye,10,W,4
2024-08-09T12:05:06+02:00,WREMFS125KG-----------8FNL000500--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1955461,PARRIS Mason Mark,Person,USA,United States,5,L,3
2024-08-09T12:05:06+02:00,WREMFS125KG-----------8FNL000500--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1921032,MUNKHTUR Lkhagvagerel,Person,MGL,Mongolia,10,W,13
2024-08-09T12:15:50+02:00,WREMFS125KG-----------8FNL000600--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1562218,ABDELMOTTALEB Diaaeldin,Person,EGY,Egypt,0,L,14
2024-08-09T12:15:50+02:00,WREMFS125KG-----------8FNL000600--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1947172,MESHVILDISHVILI Giorgi,Person,AZE,Azerbaijan,4,W,6
2024-08-09T12:27:17+02:00,WREMFS125KG-----------8FNL000700--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1894295,BARAN Robert,Person,POL,Poland,4,W,7
2024-08-09T12:27:17+02:00,WREMFS125KG-----------8FNL000700--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1936293,BATIRMURZAEV Yusup,Person,KAZ,Kazakhstan,1,L,15
2024-08-09T12:34:14+02:00,WREMFS125KG-----------8FNL000800--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1572022,KHOTSIANIVSKYI Oleksandr,Person,UKR,Ukraine,0,L,16
2024-08-09T12:34:14+02:00,WREMFS125KG-----------8FNL000800--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/8 Final,1/8 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1554885,PETRIASHVILI Geno,Person,GEO,Georgia,11,W,2
2024-08-09T12:43:07+02:00,WREMFS125KG-----------QFNL000100--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/4 Final,1/4 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1543088,ZARE Amir Hossein,Person,IRI,IR Iran,10,W,1
2024-08-09T12:43:07+02:00,WREMFS125KG-----------QFNL000100--,WREMFS125KG,Men's Freestyle 125kg,Men's Freestyle 125kg 1/4 Final,1/4 Final,M,Wrestling,WRE,Champ-de-Mars Arena,1967710,DHESI Amarveer,Person,CAN,Canada,0,L,10
