date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,start_order
2024-07-27T14:46:36+02:00,VBVMTEAM2-------------GPD-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA01,Partain/Benesh,Team,USA,United States,0,POINTS,L,,1
2024-07-27T14:46:36+02:00,VBVMTEAM2-------------GPD-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CUB01,Diaz/Alayo,Team,CUB,Cuba,2,POINTS,W,,2
2024-07-27T15:46:23+02:00,VBVMTEAM2-------------GPA-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---SWE01,Ahman/Hellvig,Team,SWE,Sweden,2,POINTS,W,,1
2024-07-27T15:46:23+02:00,VBVMTEAM2-------------GPA-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS02,Nicolaidis/Carracher,Team,AUS,Australia,0,POINTS,L,,2
2024-07-27T19:55:43+02:00,VBVMTEAM2-------------GPD-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA01,George/Andre,Team,BRA,Brazil,2,POINTS,W,,1
2024-07-27T19:55:43+02:00,VBVMTEAM2-------------GPD-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---MAR01,Abicha/Elgraoui,Team,MAR,Morocco,0,POINTS,L,,2
2024-07-27T23:54:15+02:00,VBVMTEAM2-------------GPA-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA01,Cottafava/Nicolai,Team,ITA,Italy,0,POINTS,L,,1
2024-07-27T23:54:15+02:00,VBVMTEAM2-------------GPA-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---QAT01,Cherif/Ahmed,Team,QAT,Qatar,2,POINTS,W,,2
2024-07-28T13:39:01+02:00,VBVMTEAM2-------------GPB-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED02,van de Velde/Immers,Team,NED,Netherlands,1,POINTS,L,,1
2024-07-28T13:39:01+02:00,VBVMTEAM2-------------GPB-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA02,Ranghieri/Carambula,Team,ITA,Italy,2,POINTS,W,,2
2024-07-28T17:51:38+02:00,VBVMTEAM2-------------GPE-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CZE01,Perusic/Schweiner,Team,CZE,Czechia,2,POINTS,W,,1
