date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-AIN01,PETROV Zakhar / KOROVASHKOV Alexey,Team,AIN,AIN,1.0,1:38.65,TIME,,,SF,8,
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-ITA01,CASADEI Gabriele / TACCHINI Carlo,Team,ITA,Italy,2.0,1:39.17,TIME,,+0.52,SF,4,
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-BRA01,NASCIMENTO GODMANN Jacky Jamael / GUIMARAES QUEIROZ Isaquias,Team,BRA,Brazil,3.0,1:39.38,TIME,,+0.73,QF,3,
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-HUN01,ADOLF Balazs / HAJDU Jonatan Daniel,Team,HUN,Hungary,4.0,1:40.02,TIME,,+1.37,QF,5,
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-ROU01,SPRINCEAN Ilie / NUTA Oleg,Team,ROU,Romania,5.0,1:40.84,TIME,,+2.19,QF,7,
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-GER01,KRETSCHMER Peter / HECKER Tim,Team,GER,Germany,6.0,1:41.58,TIME,,+2.93,QF,6,
2024-08-06T10:41:46+02:00,CSPMC2-500M-----------HEAT000100--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 1,Heat 1,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-NZL01,BROWN Max / CLANCY Grant,Team,NZL,New Zealand,7.0,2:22.09,TIME,,+43.44,QF,2,
2024-08-06T10:47:17+02:00,CSPMC2-500M-----------HEAT000200--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 2,Heat 2,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-CHN01,LIU Hao / JI Bowen,Team,CHN,China,1.0,1:37.40,TIME,,,SF,5,
2024-08-06T10:47:17+02:00,CSPMC2-500M-----------HEAT000200--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 2,Heat 2,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-ESP01,MORENO Joan Antoni / DOMINGUEZ Diego,Team,ESP,Spain,2.0,1:37.78,TIME,,+0.38,SF,6,
2024-08-06T10:47:17+02:00,CSPMC2-500M-----------HEAT000200--,CSPMC2-500M,Men's Canoe Double 500m,Men's Canoe Double 500m Heat 2,Heat 2,M,Canoe Sprint,CSP,Nautical St - Flat water,CSPMC2-500M-CZE01,FUKSA Petr / FUKSA Martin,Team,CZE,Czechia,3.0,1:41.49,TIME,,+4.09,QF,4,
