date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1895661,DAUDET Joris,Person,FRA,France,1.0,31.692,TIME,,,,1,1
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1895640,ANDRE Sylvain,Person,FRA,France,2.0,31.979,TIME,,+0.287,,7,3
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1955090,LARSEN Kamren,Person,USA,United States,3.0,32.016,TIME,,+0.324,,2,233
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1969217,van der BURG Dave,Person,NED,Netherlands,4.0,32.206,TIME,,+0.514,,5,192
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1940124,KENNEDY Izaac,Person,AUS,Australia,5.0,32.750,TIME,,+1.058,,4,10
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1543487,ARBOLEDA OSPINA Diego Alejandro,Person,COL,Colombia,6.0,32.835,TIME,,+1.143,,3,741
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1945060,BEARMAN Rico,Person,NZL,New Zealand,7.0,33.090,TIME,,+1.398,,6,6
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000101--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 1",Quarterfinals Run 1 Heat 1,M,Cycling BMX Racing,BMX,BMX Stadium,1548958,REEVES Dean,Person,MAR,Morocco,8.0,34.543,TIME,,+2.851,,8,266
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000103--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 3",Quarterfinals Run 1 Heat 3,M,Cycling BMX Racing,BMX,BMX Stadium,1955110,WOOD Cameron,Person,USA,United States,1.0,32.207,TIME,,,,3,12
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000103--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 3",Quarterfinals Run 1 Heat 3,M,Cycling BMX Racing,BMX,BMX Stadium,1543489,RAMIREZ YEPES Carlos Alberto,Person,COL,Colombia,2.0,32.248,TIME,,+0.041,,1,278
2024-08-01T20:14:18+02:00,BMXMINDVRACE----------QFNL000103--,BMXMINDVRACE,Men,"Men, Quarterfinals Run 1 Heat 3",Quarterfinals Run 1 Heat 3,M,Cycling BMX Racing,BMX,BMX Stadium,1976473,BUTTI Cedric,Person,SUI,Switzerland,3.0,32.394,TIME,,+0.187,,2,149
