date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-27T11:41:49+02:00,HOCMTEAM11------------GPA-000100--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--GBR01,Great Britain,Team,GBR,Great Britain,4,POINTS,W,1
2024-07-27T11:41:49+02:00,HOCMTEAM11------------GPA-000100--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--ESP01,Spain,Team,ESP,Spain,0,POINTS,L,2
2024-07-27T11:59:04+02:00,HOCMTEAM11------------GPB-000100--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--BEL01,Belgium,Team,BEL,Belgium,2,POINTS,W,1
2024-07-27T11:59:04+02:00,HOCMTEAM11------------GPB-000100--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--IRL01,Ireland,Team,IRL,Ireland,0,POINTS,L,2
2024-07-27T14:35:22+02:00,HOCMTEAM11------------GPA-000200--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--NED01,Netherlands,Team,NED,Netherlands,5,POINTS,W,1
2024-07-27T14:35:22+02:00,HOCMTEAM11------------GPA-000200--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--RSA01,South Africa,Team,RSA,South Africa,3,POINTS,L,2
2024-07-27T14:44:37+02:00,HOCMTEAM11------------GPB-000200--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--AUS01,Australia,Team,AUS,Australia,1,POINTS,W,1
2024-07-27T14:44:37+02:00,HOCMTEAM11------------GPB-000200--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--ARG01,Argentina,Team,ARG,Argentina,0,POINTS,L,2
2024-07-27T18:39:28+02:00,HOCMTEAM11------------GPA-000300--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--GER01,Germany,Team,GER,Germany,8,POINTS,W,1
2024-07-27T18:39:28+02:00,HOCMTEAM11------------GPA-000300--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--FRA01,France,Team,FRA,France,2,POINTS,L,2
2024-07-27T19:14:03+02:00,HOCMTEAM11------------GPB-000300--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--IND01,India,Team,IND,India,3,POINTS,W,1
2024-07-27T19:14:03+02:00,HOCMTEAM11------------GPB-000300--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--NZL01,New Zealand,Team,NZL,New Zealand,2,POINTS,L,2
2024-07-28T18:33:32+02:00,HOCMTEAM11------------GPA-000400--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--GER01,Germany,Team,GER,Germany,0,POINTS,L,1
2024-07-28T18:33:32+02:00,HOCMTEAM11------------GPA-000400--,HOCMTEAM11,Men,Men's Pool A,Pool A,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--ESP01,Spain,Team,ESP,Spain,2,POINTS,W,2
2024-07-28T19:02:32+02:00,HOCMTEAM11------------GPB-000400--,HOCMTEAM11,Men,Men's Pool B,Pool B,M,Hockey,HOC,Yves-du-Manoir Stadium,HOCMTEAM11--BEL01,Belgium,Team,BEL,Belgium,2,POINTS,W,1
