date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,start_order
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,,35.500,POINTS,,1
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,,33.850,POINTS,,2
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,,35.450,POINTS,,3
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----GER01,Germany,Team,GER,Germany,,33.700,POINTS,,4
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,,37.700,POINTS,,5
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----MEX01,Mexico,Team,MEX,Mexico,,29.700,POINTS,,6
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----FRA01,France,Team,FRA,France,,36.600,POINTS,,7
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BRA01,Brazil,Team,BRA,Brazil,,35.950,POINTS,,8
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ESP01,Spain,Team,ESP,Spain,,30.400,POINTS,,9
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UZB01,Uzbekistan,Team,UZB,Uzbekistan,,33.550,POINTS,,10
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----EGY01,Egypt,Team,EGY,Egypt,,30.850,POINTS,,11
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ITA01,Italy,Team,ITA,Italy,,38.200,POINTS,,12
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AUS01,Australia,Team,AUS,Australia,,31.400,POINTS,,13
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ISR01,Israel,Team,ISR,Israel,,35.250,POINTS,,14
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,,32.400,POINTS,,1
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,,28.150,POINTS,,2
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,,33.500,POINTS,,3
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----GER01,Germany,Team,GER,Germany,,23.650,POINTS,,4
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,,32.700,POINTS,,5
