date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order
2024-07-28T12:09:19+02:00,ROWMSCULL2-L----------HEAT000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 1,Heat 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LSUI01,Switzerland,Team,SUI,Switzerland,1.0,6:24.88,TIME,,,SA/B,4
2024-07-28T12:09:19+02:00,ROWMSCULL2-L----------HEAT000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 1,Heat 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LESP01,Spain,Team,ESP,Spain,2.0,6:28.92,TIME,,+4.04,SA/B,3
2024-07-28T12:09:19+02:00,ROWMSCULL2-L----------HEAT000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 1,Heat 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LFRA01,France,Team,FRA,France,3.0,6:31.32,TIME,,+6.44,R,1
2024-07-28T12:09:19+02:00,ROWMSCULL2-L----------HEAT000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 1,Heat 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LMEX01,Mexico,Team,MEX,Mexico,4.0,6:37.46,TIME,,+12.58,R,6
2024-07-28T12:09:19+02:00,ROWMSCULL2-L----------HEAT000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 1,Heat 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LJPN01,Japan,Team,JPN,Japan,5.0,6:52.58,TIME,,+27.70,R,5
2024-07-28T12:09:19+02:00,ROWMSCULL2-L----------HEAT000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 1,Heat 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LARG01,Argentina,Team,ARG,Argentina,6.0,7:04.34,TIME,,+39.46,R,2
2024-07-28T12:18:49+02:00,ROWMSCULL2-L----------HEAT000200--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 2,Heat 2,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LITA01,Italy,Team,ITA,Italy,1.0,6:29.17,TIME,,,SA/B,5
2024-07-28T12:18:49+02:00,ROWMSCULL2-L----------HEAT000200--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 2,Heat 2,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LCZE01,Czechia,Team,CZE,Czechia,2.0,6:34.33,TIME,,+5.16,SA/B,1
2024-07-28T12:18:49+02:00,ROWMSCULL2-L----------HEAT000200--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 2,Heat 2,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LBEL01,Belgium,Team,BEL,Belgium,3.0,6:45.07,TIME,,+15.90,R,4
2024-07-28T12:18:49+02:00,ROWMSCULL2-L----------HEAT000200--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 2,Heat 2,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LCHI01,Chile,Team,CHI,Chile,4.0,6:46.90,TIME,,+17.73,R,3
2024-07-28T12:18:49+02:00,ROWMSCULL2-L----------HEAT000200--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 2,Heat 2,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LUZB01,Uzbekistan,Team,UZB,Uzbekistan,5.0,6:56.57,TIME,,+27.40,R,2
2024-07-28T12:29:34+02:00,ROWMSCULL2-L----------HEAT000300--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 3,Heat 3,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LIRL01,Ireland,Team,IRL,Ireland,1.0,6:34.12,TIME,,,SA/B,4
2024-07-28T12:29:34+02:00,ROWMSCULL2-L----------HEAT000300--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 3,Heat 3,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LNOR01,Norway,Team,NOR,Norway,2.0,6:41.77,TIME,,+7.65,SA/B,3
2024-07-28T12:29:34+02:00,ROWMSCULL2-L----------HEAT000300--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 3,Heat 3,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LGRE01,Greece,Team,GRE,Greece,3.0,6:46.90,TIME,,+12.78,R,2
2024-07-28T12:29:34+02:00,ROWMSCULL2-L----------HEAT000300--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 3,Heat 3,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LUKR01,Ukraine,Team,UKR,Ukraine,4.0,7:00.13,TIME,,+26.01,R,5
2024-07-28T12:29:34+02:00,ROWMSCULL2-L----------HEAT000300--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Heat 3,Heat 3,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LEGY01,Egypt,Team,EGY,Egypt,5.0,7:20.92,TIME,,+46.80,R,1
2024-07-29T10:49:23+02:00,ROWMSCULL2-L----------REP-000100--,ROWMSCULL2-L,Lightweight Men's Double Sculls,Lightweight Men's Double Sculls Repechage 1,Repechage 1,M,Rowing,ROW,Nautical St - Flat water,ROWMSCULL2-LGRE01,Greece,Team,GRE,Greece,1.0,6:39.46,TIME,,,SA/B,2
