date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-10T09:16:03+02:00,TKWMO80KG-------------R32-000100--,TKWMO80KG,Men +80kg,Men +80kg Qualification Contest,Qualification Contest,M,Taekwondo,TKW,Grand Palais,1936316,MARA Gibson Kaogo,Person,PNG,Papua New Guinea,1,POINTS,L,,816
2024-08-10T09:16:03+02:00,TKWMO80KG-------------R32-000100--,TKWMO80KG,Men +80kg,Men +80kg Qualification Contest,Qualification Contest,M,Taekwondo,TKW,Grand Palais,1894556,MEHDIPOURNEJAD Kasra,Person,EOR,EOR,2,POINTS,W,,817
2024-08-10T09:58:05+02:00,TKWMO80KG-------------8FNL000100--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1555589,ISSOUFOU Abdoul,Person,NIG,Niger,0,POINTS,L,,813
2024-08-10T09:58:05+02:00,TKWMO80KG-------------8FNL000100--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1896149,CUNNINGHAM Caden,Person,GBR,Great Britain,2,POINTS,W,,804
2024-08-10T09:58:13+02:00,TKWMO80KG-------------8FNL000200--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1566729,ATESLI Emre Kutalmis,Person,TUR,Türkiye,0,POINTS,L,,805
2024-08-10T09:58:13+02:00,TKWMO80KG-------------8FNL000200--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1897088,ALBA Rafael,Person,CUB,Cuba,2,POINTS,W,,812
2024-08-10T10:35:06+02:00,TKWMO80KG-------------8FNL000300--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1930770,HEALY Jonathan,Person,USA,United States,2,POINTS,W,,809
2024-08-10T10:35:06+02:00,TKWMO80KG-------------8FNL000300--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1910362,SONG Zhaoxiang,Person,CHN,China,1,POINTS,L,,808
2024-08-10T10:56:39+02:00,TKWMO80KG-------------8FNL000400--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1548401,CISSE Cheick Sallah,Person,CIV,Côte d'Ivoire,2,POINTS,W,,801
2024-08-10T10:56:39+02:00,TKWMO80KG-------------8FNL000400--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1894556,MEHDIPOURNEJAD Kasra,Person,EOR,EOR,0,POINTS,L,,817
2024-08-10T11:25:06+02:00,TKWMO80KG-------------8FNL000500--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1564244,GOMIS Paivou Johnouario,Person,GBS,Guinea-Bissau,0,POINTS,L,,815
2024-08-10T11:25:06+02:00,TKWMO80KG-------------8FNL000500--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1535366,SANSORES Carlos,Person,MEX,Mexico,2,POINTS,W,,802
2024-08-10T11:49:09+02:00,TKWMO80KG-------------8FNL000600--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1887756,RAFALOVICH Nikita,Person,UZB,Uzbekistan,0,POINTS,L,,807
2024-08-10T11:49:09+02:00,TKWMO80KG-------------8FNL000600--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1536045,SALIMI Arian,Person,IRI,IR Iran,2,POINTS,W,,810
2024-08-10T12:24:19+02:00,TKWMO80KG-------------8FNL000700--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1981479,DIVKOVIC Patrik,Person,SLO,Slovenia,1,POINTS,L,,811
2024-08-10T12:24:19+02:00,TKWMO80KG-------------8FNL000700--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1898375,ORDEMANN Richard Andre,Person,NOR,Norway,2,POINTS,W,,806
2024-08-10T12:43:54+02:00,TKWMO80KG-------------8FNL000800--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1569990,SAPINA Ivan,Person,CRO,Croatia,2,POINTS,W,,803
2024-08-10T12:43:54+02:00,TKWMO80KG-------------8FNL000800--,TKWMO80KG,Men +80kg,Men +80kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1545964,ANN Alasan,Person,GAM,Gambia,0,POINTS,L,,814
2024-08-10T14:56:20+02:00,TKWMO80KG-------------QFNL000100--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1896149,CUNNINGHAM Caden,Person,GBR,Great Britain,2,POINTS,W,,804
2024-08-10T14:56:20+02:00,TKWMO80KG-------------QFNL000100--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1897088,ALBA Rafael,Person,CUB,Cuba,1,POINTS,L,,812
2024-08-10T15:23:29+02:00,TKWMO80KG-------------QFNL000200--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1930770,HEALY Jonathan,Person,USA,United States,0,POINTS,L,,809
2024-08-10T15:23:29+02:00,TKWMO80KG-------------QFNL000200--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1548401,CISSE Cheick Sallah,Person,CIV,Côte d'Ivoire,2,POINTS,W,,801
2024-08-10T16:05:02+02:00,TKWMO80KG-------------QFNL000300--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1535366,SANSORES Carlos,Person,MEX,Mexico,1,POINTS,L,,802
2024-08-10T16:05:02+02:00,TKWMO80KG-------------QFNL000300--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1536045,SALIMI Arian,Person,IRI,IR Iran,2,POINTS,W,,810
2024-08-10T16:33:13+02:00,TKWMO80KG-------------QFNL000400--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1898375,ORDEMANN Richard Andre,Person,NOR,Norway,1,POINTS,L,,806
2024-08-10T16:33:13+02:00,TKWMO80KG-------------QFNL000400--,TKWMO80KG,Men +80kg,Men +80kg Quarterfinal,Quarterfinal,M,Taekwondo,TKW,Grand Palais,1569990,SAPINA Ivan,Person,CRO,Croatia,2,POINTS,W,,803
2024-08-10T17:02:06+02:00,TKWMO80KG-------------SFNL000100--,TKWMO80KG,Men +80kg,Men +80kg Semifinal,Semifinal,M,Taekwondo,TKW,Grand Palais,1896149,CUNNINGHAM Caden,Person,GBR,Great Britain,2,POINTS,W,,804
2024-08-10T17:02:06+02:00,TKWMO80KG-------------SFNL000100--,TKWMO80KG,Men +80kg,Men +80kg Semifinal,Semifinal,M,Taekwondo,TKW,Grand Palais,1548401,CISSE Cheick Sallah,Person,CIV,Côte d'Ivoire,1,POINTS,L,,801
2024-08-10T17:39:47+02:00,TKWMO80KG-------------SFNL000200--,TKWMO80KG,Men +80kg,Men +80kg Semifinal,Semifinal,M,Taekwondo,TKW,Grand Palais,1536045,SALIMI Arian,Person,IRI,IR Iran,2,POINTS,W,,810
2024-08-10T17:39:47+02:00,TKWMO80KG-------------SFNL000200--,TKWMO80KG,Men +80kg,Men +80kg Semifinal,Semifinal,M,Taekwondo,TKW,Grand Palais,1569990,SAPINA Ivan,Person,CRO,Croatia,1,POINTS,L,,803
2024-08-10T19:44:16+02:00,TKWMO80KG-------------REP1000200--,TKWMO80KG,Men +80kg,Men +80kg Repechage,Repechage,M,Taekwondo,TKW,Grand Palais,1897088,ALBA Rafael,Person,CUB,Cuba,2,POINTS,W,,812
2024-08-10T19:44:16+02:00,TKWMO80KG-------------REP1000200--,TKWMO80KG,Men +80kg,Men +80kg Repechage,Repechage,M,Taekwondo,TKW,Grand Palais,1555589,ISSOUFOU Abdoul,Person,NIG,Niger,1,POINTS,L,,813
2024-08-10T20:11:56+02:00,TKWMO80KG-------------REP1000300--,TKWMO80KG,Men +80kg,Men +80kg Repechage,Repechage,M,Taekwondo,TKW,Grand Palais,1887756,RAFALOVICH Nikita,Person,UZB,Uzbekistan,1,POINTS,L,,807
2024-08-10T20:11:56+02:00,TKWMO80KG-------------REP1000300--,TKWMO80KG,Men +80kg,Men +80kg Repechage,Repechage,M,Taekwondo,TKW,Grand Palais,1535366,SANSORES Carlos,Person,MEX,Mexico,2,POINTS,W,,802
2024-08-10T20:42:21+02:00,TKWMO80KG-------------REPF000100--,TKWMO80KG,Men +80kg,Men +80kg Bronze Medal Contests,Bronze Medal Contests,M,Taekwondo,TKW,Grand Palais,1569990,SAPINA Ivan,Person,CRO,Croatia,0,POINTS,L,,803
2024-08-10T20:42:21+02:00,TKWMO80KG-------------REPF000100--,TKWMO80KG,Men +80kg,Men +80kg Bronze Medal Contests,Bronze Medal Contests,M,Taekwondo,TKW,Grand Palais,1897088,ALBA Rafael,Person,CUB,Cuba,2,POINTS,W,,812
2024-08-10T21:26:10+02:00,TKWMO80KG-------------REPF000200--,TKWMO80KG,Men +80kg,Men +80kg Bronze Medal Contests,Bronze Medal Contests,M,Taekwondo,TKW,Grand Palais,1535366,SANSORES Carlos,Person,MEX,Mexico,1,POINTS,L,,802
2024-08-10T21:26:10+02:00,TKWMO80KG-------------REPF000200--,TKWMO80KG,Men +80kg,Men +80kg Bronze Medal Contests,Bronze Medal Contests,M,Taekwondo,TKW,Grand Palais,1548401,CISSE Cheick Sallah,Person,CIV,Côte d'Ivoire,2,POINTS,W,,801
2024-08-10T22:07:19+02:00,TKWMO80KG-------------FNL-000100--,TKWMO80KG,Men +80kg,Men +80kg Gold Medal Contest,Gold Medal Contest,M,Taekwondo,TKW,Grand Palais,1896149,CUNNINGHAM Caden,Person,GBR,Great Britain,1,POINTS,L,,804
2024-08-10T22:07:19+02:00,TKWMO80KG-------------FNL-000100--,TKWMO80KG,Men +80kg,Men +80kg Gold Medal Contest,Gold Medal Contest,M,Taekwondo,TKW,Grand Palais,1536045,SALIMI Arian,Person,IRI,IR Iran,2,POINTS,W,,810
2024-08-07T09:12:08+02:00,TKWM58KG--------------R32-000100--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,M,Taekwondo,TKW,Grand Palais,1560166,DIOP Bocar,Person,SEN,Senegal,0,POINTS,L,,216
2024-08-07T09:12:08+02:00,TKWM58KG--------------R32-000100--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,M,Taekwondo,TKW,Grand Palais,1956376,KORNEEV Lev,Person,SRB,Serbia,2,POINTS,W,,217
2024-08-07T09:38:27+02:00,TKWM58KG--------------R32-000200--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,M,Taekwondo,TKW,Grand Palais,1932149,YASER ISMAIL Omar,Person,PLE,Palestine,2,POINTS,W,,215
2024-08-07T09:38:27+02:00,TKWM58KG--------------R32-000200--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,M,Taekwondo,TKW,Grand Palais,1894548,TIRANVALIPOUR Hadi,Person,EOR,EOR,0,POINTS,L,,218
2024-08-07T10:07:50+02:00,TKWM58KG--------------8FNL000100--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1919675,GURTSIEV Georgiy,Person,AIN,AIN,0,POINTS,L,,213
2024-08-07T10:07:50+02:00,TKWM58KG--------------8FNL000100--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1893274,RAVET Cyrian,Person,FRA,France,2,POINTS,W,,204
2024-08-07T10:32:39+02:00,TKWM58KG--------------8FNL000200--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,2,POINTS,W,,205
2024-08-07T10:32:39+02:00,TKWM58KG--------------8FNL000200--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,M,Taekwondo,TKW,Grand Palais,1925942,GRANADO Yohandri,Person,VEN,Venezuela,0,POINTS,L,,212
