date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,start_order,bib
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1904251,YEE Alex,Person,GBR,Great Britain,1.0,1:43:33,TIME,,,27,56
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1926549,WILDE Hayden,Person,NZL,New Zealand,2.0,1:43:39,TIME,,+0:06,30,21
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1543967,BERGERE Leo,Person,FRA,France,3.0,1:43:43,TIME,,+0:10,24,27
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1543969,le CORRE Pierre,Person,FRA,France,4.0,1:43:51,TIME,,+0:18,23,29
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1917163,VILACA Vasco,Person,POR,Portugal,5.0,1:43:56,TIME,,+0:23,28,48
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1917133,BATISTA Ricardo,Person,POR,Portugal,6.0,1:43:58,TIME,,+0:25,36,47
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1946391,HAUSER Matthew,Person,AUS,Australia,7.0,1:44:17,TIME,,+0:44,10,45
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1938082,GONZALEZ GARCIA Alberto,Person,ESP,Spain,8.0,1:44:22,TIME,,+0:49,13,15
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1935162,MISLAWCHUK Tyler,Person,CAN,Canada,9.0,1:44:25,TIME,,+0:52,34,49
2024-07-31T12:48:33+02:00,TRIMOLYMPIC-----------FNL-000100--,TRIMOLYMPIC,Men's Individual,Men's Individual,Men's Individual,M,Triathlon,TRI,Pont Alexandre III,1960872,HIDALGO Miguel,Person,BRA,Brazil,10.0,1:44:27,TIME,,+0:54,25,25
