code,current,name,gender,function,category,organisation_code,organisation,organisation_long,disciplines,birth_date
1536406,True,FRATINI Elisabetta,Female,Referee,J,ITA,Italy,Italy,['Judo'],
1550583,True,ILIC Corina,Female,Referee,J,CRO,Croatia,Croatia,['Judo'],
1550593,True,MAAFI Ziad,Male,Referee,J,ALG,Algeria,Algeria,['Judo'],
1550642,True,FUMEA Maria,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550643,True,LEUNG Li Li,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550645,True,MIAO Zhongyi,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550646,True,VALENZO AOKI Naomi Chieko,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550647,True,AL HITMI Ali,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550648,True,AL TABBAA Mouhammed Youssef,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550649,True,CELEN Suat,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550650,True,ESAWY Ehab,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550651,True,YAGI KITAGAWA Tammy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550652,True,VALERIO Rogerio,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550653,True,MOWBRAY Denis,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550654,True,PEGAN Aljaz,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550655,True,PENICHE FRANCO Alejandro,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550656,True,PERRIERE Charles,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550657,True,TAEYMANS Rosy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550662,True,ACOSTA RODRIGUEZ Laura Patricia,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],1964-11-17
1550672,True,BEDOSHVILI Eliso,Female,Judge,J,GEO,Georgia,Georgia,['Rhythmic Gymnastics'],
