code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1533246,True,PEDRERO Ofelia,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team,1988-03-28
1535775,True,RADHI SHENAISHIL,Male,Head Coach,C,IRQ,Iraq,Iraq,Football,Men,1965-07-01
1536055,True,AFLAKIKHAMSEH Majid,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,,1973-08-26
1536059,True,YOUSEFY Mehrdad,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,,1972-06-12
1536060,True,MADDAH Minoo,Female,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,,1976-05-17
1536328,True,LOFTUS Adriana,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team,1958-06-28
1538313,True,FERRARA Fernando,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,,1968-07-24
1538315,True,GULLA Alejandra,Female,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,Women,1977-07-04
1538317,True,CAPURRO Santiago,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,,1975-04-08
1538745,True,RONCONI Mariano,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,,
1538748,True,PAULON Ezequiel,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,,
1538751,True,VILA Matias,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,,
1539598,True,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Artistic Gymnastics,,1965-06-27
1540258,True,DAVIS DIAZ David,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,,1977-10-07
1540259,True,MENDOZA MORA Abel,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,,1988-02-26
1540260,True,VICTORIA ESPINOSA de los Alfonso,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,,1985-02-01
1540522,True,MILANO Guillermo,Male,Head Coach,C,ARG,Argentina,Argentina,Handball,Men,1973-02-08
1540638,True,GOMEZ CORA Santiago,Male,Head Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men,1978-07-25
1540639,True,GRAVANO Leonardo,Male,Assistant Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men,1973-08-30
1540840,True,FILIORIANU Ana Luiza,Female,Coach,C,ROU,Romania,Romania,Rhythmic Gymnastics,,1999-07-10
1542341,True,SMAILI Badr,Male,Coach,C,MAR,Morocco,Morocco,Taekwondo,,1993-05-07
1542904,True,OCEGUERA ORNELAS Pavel,Male,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,,1971-09-10
1542908,True,VALENZUELA GOMEZ Maria,Female,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,,1976-07-23
1542913,True,MEZA PADILLA Jose,Male,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,,1977-01-25
1542973,True,AGUILAR ROJAS Blajaith,Female,Coach,C,MEX,Mexico,Mexico,Rhythmic Gymnastics,,1991-09-30
1542976,True,FURALEV Vladislav,Male,Coach,C,MEX,Mexico,Mexico,Rhythmic Gymnastics,,1970-01-04
1543567,True,UPTON Patrick Anthony Howard,Male,Coach,C,IND,India,India,Hockey,,1968-11-05
1543570,True,SCHOPMAN Johanna Dorothea Maria,Female,Coach,C,IND,India,India,Hockey,,1977-04-26
1543575,True,HALKETT Rhett Kennedy,Male,Assistant Coach,C,IND,India,India,Hockey,,1986-05-02
1543576,True,FULTON Craig Arthur,Male,Head Coach,C,IND,India,India,Hockey,,1974-11-06
1543577,True,FARRY Anthony James,Male,Coach,C,IND,India,India,Hockey,,1973-07-13
1544157,True,THORPE Karen,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Swimming,Duet,1973-04-21
1544158,True,TOMOMATSU Yumiko,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Swimming,Duet,1972-07-21
1544489,True,CURRAN Orlaith,Female,Assistant Coach,C,IRL,Ireland,Ireland,Rugby Sevens,Women,1990-08-08
1545106,True,NASKAR Arup,Male,Coach,C,IND,India,India,Hockey,,1983-05-05
1545139,True,CHINNASAMY Ashok Kumar,Male,Coach,C,IND,India,India,Hockey,,1991-04-24
1545947,True,BUSNARI Alberto,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,,1978-10-04
1545949,True,COCCIARO Giuseppe,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,,1959-08-05
1545950,True,FORTUNA Marco,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,,1961-06-06
1545955,True,BERGAMELLI Monica Roberta,Female,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,,1984-05-24
1546310,True,CHIRILCENCO Marc Michel,Male,Coach,C,ALG,Algeria,Algeria,Artistic Gymnastics,,1968-04-24
1546312,True,HAMICI Saad Eddine,Male,Coach,C,ALG,Algeria,Algeria,Artistic Gymnastics,,1970-09-06
1546698,True,HERRANZ MARTIN Miguel Angel,Male,Coach,C,ESP,Spain,Spain,Taekwondo,,1964-04-02
1546699,True,RAMAL MUNOZ Jesus,Male,Coach,C,ESP,Spain,Spain,Taekwondo,,1968-09-01
1546700,True,SEIJO GIEBELS Christian Jaime,Male,Coach,C,ESP,Spain,Spain,Taekwondo,,1977-03-27
1546701,True,TOLEDO AROCA Antonio,Male,Coach,C,ESP,Spain,Spain,Taekwondo,,1977-06-08
1546702,True,YAGUE ENRIQUE Brigida,Female,Coach,C,ESP,Spain,Spain,Taekwondo,,1981-03-15
1548427,True,JONES Gilmar,Male,Coach,C,SUR,Suriname,Suriname,Taekwondo,,1986-01-26
1548848,True,DIMITROVA Vesela,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,,1975-10-28
1548875,True,STOYNEVA Yasena,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,,1988-11-10
1548895,True,MARKOVA Branimira,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,,1973-10-01
1548902,True,PAMUKOVA Mariyana,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,,1982-08-22
1548919,True,IVANOVA Valentina,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,,1977-05-29
1549452,True,LEE Eui Yong,Male,Coach,C,GAM,Gambia,Gambia,Taekwondo,,1971-02-09
1550038,True,ARILL Samuel,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women,1975-08-24
1550039,True,MORALES OTERO Carlos,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women,1958-08-30
1550047,True,BATISTA Gerardo,Male,Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women,1970-12-21
1550196,True,COTUTIU Florin,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,,1975-03-13
1550198,True,JONES Daymon,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,,1975-06-05
1550199,True,KIENS Patrick,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,,1971-05-05
1550201,True,MOROSAN Corina,Female,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,,1967-09-14
1550203,True,VOINEA Camelia,Female,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,,1970-03-02
1550267,True,BERBECAR Marius,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,,1985-05-15
1552001,True,LIU Tsung-Ta,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Taekwondo,,1974-10-10
1555083,True,GEORGALLAS Irodotos,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,,1977-12-14
1555113,True,PETRIDIS Panagiotis,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,,1964-05-06
1555115,True,FLANNERY Eimear,Female,Assistant Coach,C,IRL,Ireland,Ireland,Rugby Sevens,Men,1982-02-02
1555131,True,SHIPPI Panayiotis,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,,1982-03-25
1555182,True,TRIKOMITI Chrystalleni,Female,Coach,C,CYP,Cyprus,Cyprus,Rhythmic Gymnastics,,1993-11-30
1556249,True,DEACU George,Male,Assistant Coach,C,ROU,Romania,Romania,Water Polo,Men,1984-11-24
1556255,True,RATH Bogdan,Male,Head Coach,C,ROU,Romania,Romania,Water Polo,Men,1972-06-28
1557013,True,ARIAS Ramon,Male,Coach,C,CHI,Chile,Chile,Taekwondo,,1956-08-18
1559048,True,WIBERG Johanna,Female,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Women,1983-09-06
