date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-30T18:59:05+02:00,BK3MTEAM3-------------GPA-000100--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,21,POINTS,W,1
2024-07-30T18:59:05+02:00,BK3MTEAM3-------------GPA-000100--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,14,POINTS,L,2
2024-07-30T19:26:55+02:00,BK3MTEAM3-------------GPA-000200--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,16,POINTS,L,1
2024-07-30T19:26:55+02:00,BK3MTEAM3-------------GPA-000200--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,21,POINTS,W,2
2024-07-30T22:30:21+02:00,BK3MTEAM3-------------GPA-000300--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,19,POINTS,L,1
2024-07-30T22:30:21+02:00,BK3MTEAM3-------------GPA-000300--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,21,POINTS,W,2
2024-07-31T18:59:31+02:00,BK3MTEAM3-------------GPA-000500--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,21,POINTS,W,1
2024-07-31T18:59:31+02:00,BK3MTEAM3-------------GPA-000500--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,12,POINTS,L,2
2024-07-31T19:22:54+02:00,BK3MTEAM3-------------GPA-000400--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,22,POINTS,W,1
2024-07-31T19:22:54+02:00,BK3MTEAM3-------------GPA-000400--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---USA01,United States of America,Team,USA,United States,14,POINTS,L,2
2024-07-31T19:23:21+02:00,BK3MTEAM3-------------GPA-000600--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,15,POINTS,L,1
2024-07-31T19:23:21+02:00,BK3MTEAM3-------------GPA-000600--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,21,POINTS,W,2
2024-07-31T22:35:08+02:00,BK3MTEAM3-------------GPA-000700--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,20,POINTS,L,1
