date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-27T12:56:50+02:00,BKBMTEAM5-------------GPA-000100--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---AUS01,Australia,Team,AUS,Australia,92,POINTS,W,1
2024-07-27T12:56:50+02:00,BKBMTEAM5-------------GPA-000100--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---ESP01,Spain,Team,ESP,Spain,80,POINTS,L,2
2024-07-27T15:13:15+02:00,BKBMTEAM5-------------GPB-000100--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GER01,Germany,Team,GER,Germany,97,POINTS,W,1
2024-07-27T15:13:15+02:00,BKBMTEAM5-------------GPB-000100--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---JPN01,Japan,Team,JPN,Japan,77,POINTS,L,2
2024-07-27T19:20:21+02:00,BKBMTEAM5-------------GPB-000200--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---FRA01,France,Team,FRA,France,78,POINTS,W,1
2024-07-27T19:20:21+02:00,BKBMTEAM5-------------GPB-000200--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---BRA01,Brazil,Team,BRA,Brazil,66,POINTS,L,2
2024-07-27T23:12:29+02:00,BKBMTEAM5-------------GPA-000200--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GRE01,Greece,Team,GRE,Greece,79,POINTS,L,1
2024-07-27T23:12:29+02:00,BKBMTEAM5-------------GPA-000200--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---CAN01,Canada,Team,CAN,Canada,86,POINTS,W,2
2024-07-28T13:10:52+02:00,BKBMTEAM5-------------GPC-000100--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---SSD01,South Sudan,Team,SSD,South Sudan,90,POINTS,W,1
2024-07-28T13:10:52+02:00,BKBMTEAM5-------------GPC-000100--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---PUR01,Puerto Rico,Team,PUR,Puerto Rico,79,POINTS,L,2
2024-07-28T19:12:49+02:00,BKBMTEAM5-------------GPC-000200--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---SRB01,Serbia,Team,SRB,Serbia,84,POINTS,L,1
2024-07-28T19:12:49+02:00,BKBMTEAM5-------------GPC-000200--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---USA01,United States of America,Team,USA,United States,110,POINTS,W,2
2024-07-30T12:55:46+02:00,BKBMTEAM5-------------GPA-000300--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---ESP01,Spain,Team,ESP,Spain,84,POINTS,W,1
2024-07-30T12:55:46+02:00,BKBMTEAM5-------------GPA-000300--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GRE01,Greece,Team,GRE,Greece,77,POINTS,L,2
2024-07-30T15:16:04+02:00,BKBMTEAM5-------------GPA-000400--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---CAN01,Canada,Team,CAN,Canada,93,POINTS,W,1
2024-07-30T15:16:04+02:00,BKBMTEAM5-------------GPA-000400--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---AUS01,Australia,Team,AUS,Australia,83,POINTS,L,2
2024-07-30T19:21:11+02:00,BKBMTEAM5-------------GPB-000300--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---JPN01,Japan,Team,JPN,Japan,90,POINTS,L,1
