date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
2024-07-29T12:54:44+02:00,BOXMO92KG-------------8FNL000100--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1955634,EDWARDS Joshua,Person,USA,United States,1,POINTS,L
2024-07-29T12:54:44+02:00,BOXMO92KG-------------8FNL000100--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1899514,LENZI Diego,Person,ITA,Italy,3,POINTS,W
2024-07-29T13:11:55+02:00,BOXMO92KG-------------8FNL000200--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1895903,TIAFACK Nelvie Raman,Person,GER,Germany,5,POINTS,W
2024-07-29T13:11:55+02:00,BOXMO92KG-------------8FNL000200--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1972341,ABDULLAYEV Mahammad,Person,AZE,Azerbaijan,0,POINTS,L
2024-07-29T16:47:04+02:00,BOXMO92KG-------------8FNL000300--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1940141,TEREMOANA Teremoana,Person,AUS,Australia,,RM,W
2024-07-29T16:47:04+02:00,BOXMO92KG-------------8FNL000300--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1564367,LOVCHYNSKYI Dmytro,Person,UKR,Ukraine,,RM,L
2024-07-29T17:04:27+02:00,BOXMO92KG-------------8FNL000400--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1878389,SHIHA Omar,Person,NOR,Norway,0,POINTS,L
2024-07-29T17:04:27+02:00,BOXMO92KG-------------8FNL000400--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1556869,JALOLOV Bakhodir,Person,UZB,Uzbekistan,5,POINTS,W
2024-07-29T17:21:40+02:00,BOXMO92KG-------------8FNL000500--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1540351,KADI Mourad,Person,ALG,Algeria,1,POINTS,L
2024-07-29T17:21:40+02:00,BOXMO92KG-------------8FNL000500--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1879120,ABOUDOU MOINDZE Djamili-Dini,Person,FRA,France,4,POINTS,W
2024-07-29T21:40:25+02:00,BOXMO92KG-------------8FNL000600--,BOXMO92KG,Men's +92kg,Men's +92kg - Preliminaries - Round of 16,Preliminaries - Round of 16,M,Boxing,BOX,North Paris Arena,1974905,CONGO CHALA Gerlon Gilmar,Person,ECU,Ecuador,3,POINTS,W
