date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1880479,GESTIN Nicolas,Person,FRA,France,1.0,89.90,TIME,,0.00,,19,2
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1896030,BURGESS Adam,Person,GBR,Great Britain,2.0,90.87,TIME,,+0.97,,14,7
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1561149,MARINIC Matija,Person,CRO,Croatia,3.0,91.61,TIME,,+1.71,,10,11
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1550978,IVALDI Raffaello,Person,ITA,Italy,4.0,91.90,TIME,,+2.00,,16,5
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1953955,TRAVE Miquel,Person,ESP,Spain,5.0,92.19,TIME,,+2.29,,18,3
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1913764,TASIADIS Sideris,Person,GER,Germany,6.0,92.44,TIME,,+2.54,,15,6
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1942122,HEDWIG Grzegorz,Person,POL,Poland,7.0,94.08,TIME,,+4.18,,9,12
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1940211,CARTER Tristan,Person,AUS,Australia,8.0,94.19,TIME,,+4.29,,12,9
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1906723,BOURHIS Yves,Person,SEN,Senegal,9.0,94.68,TIME,,+4.78,,8,13
2024-07-27T15:57:24+02:00,CSLMC1----------------HEAT000100--,CSLMC1,Men's Canoe Single,Men's Canoe Single Heats 1st Run,Heats 1st Run,M,Canoe Slalom,CSL,Nautical St - White water,1962626,ROHAN Lukas,Person,CZE,Czechia,10.0,95.63,TIME,,+5.73,,13,8
