date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,qualification_mark,start_order
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1901556,CAO Yuan,Person,CHN,China,1.0,500.15,POINTS,,Q,5
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1891685,TAMAI Rikuto,Person,JPN,Japan,2.0,497.15,POINTS,3.00,Q,11
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1959146,WIENS Rylan,Person,CAN,Canada,3.0,485.25,POINTS,14.90,Q,22
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1901554,YANG Hao,Person,CHN,China,4.0,479.80,POINTS,20.35,Q,10
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1897456,SEREDA Oleksii,Person,UKR,Ukraine,5.0,479.45,POINTS,20.70,Q,18
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1535343,WILLARS VALDEZ Randal,Person,MEX,Mexico,6.0,460.75,POINTS,39.40,Q,9
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1940403,ROUSSEAU Cassiel,Person,AUS,Australia,7.0,453.10,POINTS,47.05,Q,8
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1900857,WILLIAMS Noah,Person,GBR,Great Britain,8.0,446.70,POINTS,53.45,Q,16
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1900847,KOTHARI Kyle,Person,GBR,Great Britain,9.0,433.10,POINTS,67.05,Q,13
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1959132,ZSOMBOR-MURRAY Nathan,Person,CAN,Canada,10.0,407.20,POINTS,92.95,Q,25
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1535345,BERLIN REYES Kevin,Person,MEX,Mexico,11.0,407.15,POINTS,93.00,Q,23
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1907200,BARTHEL Timo,Person,GER,Germany,12.0,402.65,POINTS,97.50,Q,3
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1954192,LOSCHIAVO Brandon,Person,USA,United States,13.0,393.65,POINTS,106.50,Q,2
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1940411,BOWSHIRE Jaxon,Person,AUS,Australia,14.0,390.30,POINTS,109.85,Q,26
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1925693,GIOVANNINI Riccardo,Person,ITA,Italy,15.0,387.65,POINTS,112.50,Q,7
2024-08-09T12:30:56+02:00,DIVM10M---------------PREL000100--,DIVM10M,Men's 10m Platform,Men's 10m Platform Preliminary,Preliminary,M,Diving,DIV,Aquatics Centre,1925645,LARSEN Andreas Sargent,Person,ITA,Italy,16.0,369.50,POINTS,130.65,Q,12
