date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,start_order,bib
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1909030,RASOVSZKY Kristof,Person,HUN,Hungary,1.0,1:50:52.7,TIME,,,19,19
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1907234,KLEMET Oliver,Person,GER,Germany,2.0,1:50:54.8,TIME,,+2.1,14,14
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1902450,BETLEHEM David,Person,HUN,Hungary,3.0,1:51:09.0,TIME,,+16.3,23,23
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1925631,ACERENZA Domenico,Person,ITA,Italy,4.0,1:51:09.6,TIME,,+16.9,16,16
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1902947,FONTAINE Logan,Person,FRA,France,5.0,1:51:47.9,TIME,,+55.2,17,17
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1544168,PARDOE Hector,Person,GBR,Great Britain,6.0,1:51:50.8,TIME,,+58.1,28,28
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1902948,OLIVIER Marc-Antoine,Person,FRA,France,7.0,1:51:50.9,TIME,,+58.2,30,30
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1907169,WELLBROCK Florian,Person,GER,Germany,8.0,1:51:54.4,TIME,,+1:01.7,5,5
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1925630,PALTRINIERI Gregorio,Person,ITA,Italy,9.0,1:51:58.0,TIME,,+1:05.3,10,10
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1954554,KYNIGAKIS Athanasios Charalampos,Person,GRE,Greece,10.0,1:52:37.2,TIME,,+1:44.5,9,9
2024-08-09T09:37:28+02:00,OWSM10KM--------------FNL-000100--,OWSM10KM,Men's 10km,Men's 10km,Men's 10km,M,Marathon Swimming,OWS,Pont Alexandre III,1945589,SLOMAN Nick,Person,AUS,Australia,11.0,1:56:24.4,TIME,,+5:31.7,6,6
