date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-24T22:34:32+02:00,RU7MTEAM7-------------GPB-000100--,RU7MTEAM7,Men,Men's Pool B,Pool B,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---AUS01,Australia,Team,AUS,Australia,21,POINTS,W,1
2024-07-24T22:34:32+02:00,RU7MTEAM7-------------GPB-000100--,RU7MTEAM7,Men,Men's Pool B,Pool B,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---SAM01,Samoa,Team,SAM,Samoa,14,POINTS,L,2
2024-07-24T23:21:21+02:00,RU7MTEAM7-------------GPB-000200--,RU7MTEAM7,Men,Men's Pool B,Pool B,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---ARG01,Argentina,Team,ARG,Argentina,31,POINTS,W,1
2024-07-24T23:21:21+02:00,RU7MTEAM7-------------GPB-000200--,RU7MTEAM7,Men,Men's Pool B,Pool B,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---KEN01,Kenya,Team,KEN,Kenya,12,POINTS,L,2
2024-07-24T23:21:21+02:00,RU7MTEAM7-------------GPC-000100--,RU7MTEAM7,Men,Men's Pool C,Pool C,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FRA01,France,Team,FRA,France,12,POINTS,T,1
2024-07-24T23:21:21+02:00,RU7MTEAM7-------------GPC-000100--,RU7MTEAM7,Men,Men's Pool C,Pool C,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---USA01,United States of America,Team,USA,United States,12,POINTS,T,2
2024-07-24T23:21:22+02:00,RU7MTEAM7-------------GPA-000100--,RU7MTEAM7,Men,Men's Pool A,Pool A,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---IRL01,Ireland,Team,IRL,Ireland,10,POINTS,W,1
2024-07-24T23:21:22+02:00,RU7MTEAM7-------------GPA-000100--,RU7MTEAM7,Men,Men's Pool A,Pool A,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---RSA01,South Africa,Team,RSA,South Africa,5,POINTS,L,2
2024-07-24T23:21:22+02:00,RU7MTEAM7-------------GPC-000200--,RU7MTEAM7,Men,Men's Pool C,Pool C,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,40,POINTS,W,1
2024-07-24T23:21:22+02:00,RU7MTEAM7-------------GPC-000200--,RU7MTEAM7,Men,Men's Pool C,Pool C,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---URU01,Uruguay,Team,URU,Uruguay,12,POINTS,L,2
