date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
2024-07-27T07:34:41+02:00,SRFMSHORTBRD----------PREL000100--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 1,Round 1 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1946128,EWING Ethan,Person,AUS,Australia,1.0,9.90,POINTS,,Q3,8
2024-07-27T07:34:41+02:00,SRFMSHORTBRD----------PREL000100--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 1,Round 1 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1963660,SMITH Jordy,Person,RSA,South Africa,2.0,7.60,POINTS,,Q2,17
2024-07-27T07:34:41+02:00,SRFMSHORTBRD----------PREL000100--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 1,Round 1 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1556615,ELTER Tim,Person,GER,Germany,3.0,4.00,POINTS,,Q2,9
2024-07-27T08:11:45+02:00,SRFMSHORTBRD----------PREL000200--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 2,Round 1 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1567362,DURU Joan,Person,FRA,France,1.0,13.84,POINTS,,Q3,4
2024-07-27T08:11:45+02:00,SRFMSHORTBRD----------PREL000200--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 2,Round 1 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,2.0,13.36,POINTS,,Q2,13
2024-07-27T08:11:45+02:00,SRFMSHORTBRD----------PREL000200--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 2,Round 1 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1963661,McGILLIVRAY Matthew,Person,RSA,South Africa,3.0,5.26,POINTS,,Q2,21
2024-07-27T08:46:08+02:00,SRFMSHORTBRD----------PREL000300--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 3,Round 1 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,1.0,14.33,POINTS,,Q3,5
2024-07-27T08:46:08+02:00,SRFMSHORTBRD----------PREL000300--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 3,Round 1 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1955777,TOLEDO Filipe,Person,BRA,Brazil,2.0,7.63,POINTS,,Q2,12
2024-07-27T08:46:08+02:00,SRFMSHORTBRD----------PREL000300--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 3,Round 1 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1913498,IGARASHI Kanoa,Person,JPN,Japan,3.0,4.17,POINTS,,Q2,20
2024-07-27T09:23:56+02:00,SRFMSHORTBRD----------PREL000400--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 4,Round 1 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,1.0,13.50,POINTS,,Q3,1
2024-07-27T09:23:56+02:00,SRFMSHORTBRD----------PREL000400--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 4,Round 1 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1913489,O'LEARY Connor,Person,JPN,Japan,2.0,9.93,POINTS,,Q2,16
2024-07-27T09:23:56+02:00,SRFMSHORTBRD----------PREL000400--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 4,Round 1 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1571398,PEREZ Bryan,Person,ESA,El Salvador,3.0,7.53,POINTS,,Q2,24
2024-07-27T10:00:16+02:00,SRFMSHORTBRD----------PREL000500--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 5,Round 1 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1955780,CHIANCA Joao,Person,BRA,Brazil,1.0,10.07,POINTS,,Q3,23
2024-07-27T10:00:16+02:00,SRFMSHORTBRD----------PREL000500--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 5,Round 1 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1551552,BOUKHIAM Ramzi,Person,MAR,Morocco,2.0,9.76,POINTS,,Q2,2
2024-07-27T10:00:16+02:00,SRFMSHORTBRD----------PREL000500--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 5,Round 1 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1919015,STAIRMAND Billy,Person,NZL,New Zealand,3.0,5.53,POINTS,,Q2,15
2024-07-27T10:35:40+02:00,SRFMSHORTBRD----------PREL000600--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 6,Round 1 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1943202,FLORENCE John John,Person,USA,United States,1.0,17.33,POINTS,,Q3,11
