date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
2024-07-28T21:22:43+02:00,TENMDOUBLES-----------R32-000300--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GRE01,Tsitsipas / Tsitsipas,Team,GRE,Greece,1,SCORE,L,
2024-07-28T21:22:43+02:00,TENMDOUBLES-----------R32-000300--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-POR01,Borges / Cabral,Team,POR,Portugal,2,SCORE,W,
2024-07-28T21:52:05+02:00,TENMDOUBLES-----------R32-000200--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-LBN01,Habib / Hassan,Team,LBN,Lebanon,0,SCORE,L,
2024-07-28T21:52:05+02:00,TENMDOUBLES-----------R32-000200--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-AUS02,Ebden / Peers,Team,AUS,Australia,2,SCORE,W,
2024-07-28T21:52:07+02:00,TENMDOUBLES-----------R32-001000--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-NED01,Griekspoor / Koolhof,Team,NED,Netherlands,2,SCORE,W,
2024-07-28T21:52:07+02:00,TENMDOUBLES-----------R32-001000--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-HUN01,Fucsovics / Marozsan,Team,HUN,Hungary,0,SCORE,L,
2024-07-28T22:25:20+02:00,TENMDOUBLES-----------R32-001600--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-AIN01,Medvedev / Safiullin,Team,AIN,AIN,0,SCORE,L,
2024-07-28T22:25:20+02:00,TENMDOUBLES-----------R32-001600--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GER01,Krawietz / Puetz,Team,GER,Germany,2,SCORE,W,
2024-07-28T23:12:46+02:00,TENMDOUBLES-----------R32-001500--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-IND01,Balaji / Bopanna,Team,IND,India,0,SCORE,L,
2024-07-28T23:12:46+02:00,TENMDOUBLES-----------R32-001500--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-FRA01,Monfils / Roger-Vasselin,Team,FRA,France,2,SCORE,W,
2024-07-28T23:18:12+02:00,TENMDOUBLES-----------R32-000100--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-ITA02,Bolelli / Vavassori,Team,ITA,Italy,1,SCORE,L,
2024-07-28T23:18:12+02:00,TENMDOUBLES-----------R32-000100--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-ESP02,Carreno Busta / Granollers,Team,ESP,Spain,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000600--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-NED02,Haase / Rojer,Team,NED,Netherlands,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000600--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-ARG02,Etcheverry / Navone,Team,ARG,Argentina,0,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001100--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-BRA01,Monteiro / Seyboth Wild,Team,BRA,Brazil,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001100--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-KAZ01,Bublik / Nedovyesov,Team,KAZ,Kazakhstan,0,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001300--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GBR01,Salisbury / Skupski,Team,GBR,Great Britain,1,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001300--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-CZE01,Machac / Pavlasek,Team,CZE,Czechia,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001200--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-AUS01,Popyrin / de Minaur,Team,AUS,Australia,0,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001200--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-USA02,Krajicek / Ram,Team,USA,United States,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000400--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GER02,Koepfer / Struff,Team,GER,Germany,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000400--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-CRO01,Mektic / Pavic,Team,CRO,Croatia,1,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000500--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-USA01,Fritz / Paul,Team,USA,United States,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000500--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-CAN01,Auger-Aliassime / Raonic,Team,CAN,Canada,0,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000800--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-BEL01,Gille / Vliegen,Team,BEL,Belgium,2,SCORE,W,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-000800--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-FRA02,Fils / Humbert,Team,FRA,France,0,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001400--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-ITA01,Darderi / Musetti,Team,ITA,Italy,1,SCORE,L,
2024-07-29T23:22:50+02:00,TENMDOUBLES-----------R32-001400--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-CHI01,Jarry / Tabilo,Team,CHI,Chile,2,SCORE,W,
2024-07-30T15:31:16+02:00,TENMDOUBLES-----------8FNL000600--,TENMDOUBLES,Men's Doubles,Men's Doubles Second Round,Second Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-BRA01,Monteiro / Seyboth Wild,Team,BRA,Brazil,0,SCORE,L,
2024-07-30T15:31:16+02:00,TENMDOUBLES-----------8FNL000600--,TENMDOUBLES,Men's Doubles,Men's Doubles Second Round,Second Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-USA02,Krajicek / Ram,Team,USA,United States,2,SCORE,W,
2024-07-30T16:51:49+02:00,TENMDOUBLES-----------8FNL000100--,TENMDOUBLES,Men's Doubles,Men's Doubles Second Round,Second Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-ESP02,Carreno Busta / Granollers,Team,ESP,Spain,0,SCORE,L,
2024-07-30T16:51:49+02:00,TENMDOUBLES-----------8FNL000100--,TENMDOUBLES,Men's Doubles,Men's Doubles Second Round,Second Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-AUS02,Ebden / Peers,Team,AUS,Australia,2,SCORE,W,
2024-07-30T18:09:17+02:00,TENMDOUBLES-----------8FNL000200--,TENMDOUBLES,Men's Doubles,Men's Doubles Second Round,Second Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-POR01,Borges / Cabral,Team,POR,Portugal,0,SCORE,L,
2024-07-30T18:09:17+02:00,TENMDOUBLES-----------8FNL000200--,TENMDOUBLES,Men's Doubles,Men's Doubles Second Round,Second Round,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GER02,Koepfer / Struff,Team,GER,Germany,2,SCORE,W,
