date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,start_order
2024-07-28T11:52:50+02:00,SWMM100MBA------------HEAT000100--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 1,Heat 1,M,Swimming,SWM,Paris La Defense Arena,1901276,HARVEY Jack,Person,BER,Bermuda,1.0,55.78,TIME,,,4
2024-07-28T11:52:50+02:00,SWMM100MBA------------HEAT000100--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 1,Heat 1,M,Swimming,SWM,Paris La Defense Arena,1911100,KPADE Alexis Michel Roger Dodji,Person,BEN,Benin,2.0,57.61,TIME,,1.83,3
2024-07-28T11:52:50+02:00,SWMM100MBA------------HEAT000100--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 1,Heat 1,M,Swimming,SWM,Paris La Defense Arena,1953072,AL BAWWAB Yazan,Person,PLE,Palestine,3.0,58.26,TIME,,2.48,5
2024-07-28T11:52:50+02:00,SWMM100MBA------------HEAT000100--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 1,Heat 1,M,Swimming,SWM,Paris La Defense Arena,1550831,GRESHAM Zackary,Person,GRN,Grenada,4.0,58.92,TIME,,3.14,6
2024-07-28T11:52:50+02:00,SWMM100MBA------------HEAT000100--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 1,Heat 1,M,Swimming,SWM,Paris La Defense Arena,1913167,CHAN Zeke,Person,BRU,Brunei Darussalam,5.0,1:00.38,TIME,,4.60,7
2024-07-28T11:52:50+02:00,SWMM100MBA------------HEAT000100--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 1,Heat 1,M,Swimming,SWM,Paris La Defense Arena,1944802,UHI Alan Koti Lopeti,Person,TGA,Tonga,6.0,1:00.62,TIME,,4.84,2
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1544228,WILSON Maximillian,Person,ISV,"Virgin Islands, US",1.0,54.49,TIME,,,8
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1547098,NATARAJ Srihari,Person,IND,India,2.0,55.01,TIME,,0.52,3
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1939993,FOLLOWS Kane,Person,NZL,New Zealand,2.0,55.01,TIME,,0.52,4
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1565166,REITSHAMMER Bernhard,Person,AUT,Austria,4.0,55.13,TIME,,0.64,6
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1913028,RINCON VELASCO Anthony,Person,COL,Colombia,5.0,55.42,TIME,,0.93,2
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1549970,MORALES Yeziel,Person,PUR,Puerto Rico,6.0,55.76,TIME,,1.27,1
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1887964,SAKA Berke,Person,TUR,Türkiye,7.0,55.85,TIME,,1.36,5
2024-07-28T11:55:41+02:00,SWMM100MBA------------HEAT000200--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 2,Heat 2,M,Swimming,SWM,Paris La Defense Arena,1568334,PANSTKHAVA Noe,Person,GEO,Georgia,8.0,56.46,TIME,,1.97,7
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1972550,van WESTERING Kai,Person,NED,Netherlands,1.0,54.21,TIME,,,1
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1556094,ZHELTIAKOV Oleksandr,Person,UKR,Ukraine,2.0,54.32,TIME,,0.11,7
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1976455,BOLLIN Thierry,Person,SUI,Switzerland,3.0,54.35,TIME,,0.14,5
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1897298,MARAANA Adam,Person,ISR,Israel,4.0,54.61,TIME,,0.40,4
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1907178,ULRICH Marek,Person,GER,Germany,5.0,54.63,TIME,,0.42,6
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1963638,MATSUYAMA Riku,Person,JPN,Japan,6.0,54.71,TIME,,0.50,2
2024-07-28T11:58:26+02:00,SWMM100MBA------------HEAT000300--,SWMM100MBA,Men's 100m Backstroke,Men's 100m Backstroke - Heat 3,Heat 3,M,Swimming,SWM,Paris La Defense Arena,1949732,COSTA Joao,Person,POR,Portugal,7.0,54.90,TIME,,0.69,3
