date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,qualification_mark,start_order,bib
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1914905,von BREDOW-WERNDL Jessica,Person,GER,Germany,1.0,82.065,PERCENT,,Q,10,241
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1899834,BASQUIN Pauline,Person,FRA,France,2.0,73.711,PERCENT,,Q,9,233
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1976867,MINDERHOUD Hans Peter,Person,NED,Netherlands,3.0,72.578,PERCENT,,,1,252
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1570619,WAGNER EHLINGER Nicolas,Person,LUX,Luxembourg,4.0,71.988,PERCENT,,,5,248
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1965390,CARRASCOSA Borja,Person,ESP,Spain,5.0,70.823,PERCENT,,,4,224
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1940469,PEARCE Simone,Person,AUS,Australia,6.0,70.171,PERCENT,,,6,204
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1939473,GALLOWAY Melissa,Person,NZL,New Zealand,7.0,68.913,PERCENT,,,7,256
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1974845,CARIER BERGERON Camille,Person,CAN,Canada,8.0,68.338,PERCENT,,,3,214
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1951852,PETERS Steffen,Person,USA,United States,9.0,66.491,PERCENT,,,8,274
2024-07-31T15:37:07+02:00,EQUODRESINDV----------GP--000600--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group F,Grand Prix Groupe F,O,Equestrian,EQU,Château de Versailles,1937735,SZULC Aleksandra,Person,POL,Poland,10.0,60.078,PERCENT,,,2,260
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1892358,SKODBORG MERRALD Nanna,Person,DEN,Denmark,1.0,78.028,PERCENT,,Q,2,220
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1976864,van LIERE Dinja,Person,NED,Netherlands,2.0,77.764,PERCENT,,Q,3,254
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1970910,HESTER Carl,Person,GBR,Great Britain,3.0,77.345,PERCENT,,q,10,238
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1899858,POTTIER Corentin,Person,FRA,France,4.0,70.683,PERCENT,,,9,234
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1968090,MARCARI OLIVA Joao Victor,Person,BRA,Brazil,5.0,70.093,PERCENT,,,5,213
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1951019,VANAGAITE Justina,Person,LTU,Lithuania,6.0,69.208,PERCENT,,,8,247
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1940450,BROWN Jayden,Person,AUS,Australia,7.0,68.991,PERCENT,,,6,201
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1974883,MOREIRA LALIBERTE Naima,Person,CAN,Canada,8.0,68.711,PERCENT,,,4,216
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1878962,LEHFELLNER Stefan,Person,AUT,Austria,9.0,68.183,PERCENT,,,1,206
2024-07-31T15:38:04+02:00,EQUODRESINDV----------GP--000100--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group A,Grand Prix Group A,O,Equestrian,EQU,Château de Versailles,1535993,CHEW Caroline,Person,SGP,Singapore,10.0,63.351,PERCENT,,,7,265
2024-07-31T15:38:07+02:00,EQUODRESINDV----------GP--000200--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group B,Grand Prix Group B,O,Equestrian,EQU,Château de Versailles,1892359,BACHMANN ANDERSEN Daniel,Person,DEN,Denmark,1.0,76.910,PERCENT,,Q,10,218
2024-07-31T15:38:07+02:00,EQUODRESINDV----------GP--000200--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group B,Grand Prix Group B,O,Equestrian,EQU,Château de Versailles,1914936,WANDRES Frederic,Person,GER,Germany,2.0,76.118,PERCENT,,Q,2,242
2024-07-31T15:38:07+02:00,EQUODRESINDV----------GP--000200--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group B,Grand Prix Group B,O,Equestrian,EQU,Château de Versailles,1909053,KANERVA Emma,Person,FIN,Finland,3.0,73.680,PERCENT,,q,8,229
2024-07-31T15:38:07+02:00,EQUODRESINDV----------GP--000200--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group B,Grand Prix Group B,O,Equestrian,EQU,Château de Versailles,1903163,de WINNE Flore,Person,BEL,Belgium,4.0,73.028,PERCENT,,,9,209
2024-07-31T15:38:07+02:00,EQUODRESINDV----------GP--000200--,EQUODRESINDV,Dressage Individual,Dressage Individual Grand Prix Group B,Grand Prix Group B,O,Equestrian,EQU,Château de Versailles,1890586,RAMEL Juliette,Person,SWE,Sweden,5.0,71.553,PERCENT,,,1,269
