date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-24T17:41:08+02:00,FBLMTEAM11------------GPC-000100--,FBLMTEAM11,Men,Men's Group C,Group C,M,Football,FBL,Parc des Princes,FBLMTEAM11--UZB01,Uzbekistan,Team,UZB,Uzbekistan,1,POINTS,L,1
2024-07-24T17:41:08+02:00,FBLMTEAM11------------GPC-000100--,FBLMTEAM11,Men,Men's Group C,Group C,M,Football,FBL,Parc des Princes,FBLMTEAM11--ESP01,Spain,Team,ESP,Spain,2,POINTS,W,2
2024-07-24T20:17:54+02:00,FBLMTEAM11------------GPB-000100--,FBLMTEAM11,Men,Men's Group B,Group B,M,Football,FBL,Geoffroy-Guichard Stadium,FBLMTEAM11--ARG01,Argentina,Team,ARG,Argentina,1,POINTS,L,1
2024-07-24T20:17:54+02:00,FBLMTEAM11------------GPB-000100--,FBLMTEAM11,Men,Men's Group B,Group B,M,Football,FBL,Geoffroy-Guichard Stadium,FBLMTEAM11--MAR01,Morocco,Team,MAR,Morocco,2,POINTS,W,2
2024-07-24T20:28:42+02:00,FBLMTEAM11------------GPA-000200--,FBLMTEAM11,Men,Men's Group A,Group A,M,Football,FBL,Nice Stadium,FBLMTEAM11--GUI01,Guinea,Team,GUI,Guinea,1,POINTS,L,1
2024-07-24T20:28:42+02:00,FBLMTEAM11------------GPA-000200--,FBLMTEAM11,Men,Men's Group A,Group A,M,Football,FBL,Nice Stadium,FBLMTEAM11--NZL01,New Zealand,Team,NZL,New Zealand,2,POINTS,W,2
2024-07-24T21:46:56+02:00,FBLMTEAM11------------GPD-000200--,FBLMTEAM11,Men,Men's Group D,Group D,M,Football,FBL,Bordeaux Stadium,FBLMTEAM11--JPN01,Japan,Team,JPN,Japan,5,POINTS,W,1
2024-07-24T21:46:56+02:00,FBLMTEAM11------------GPD-000200--,FBLMTEAM11,Men,Men's Group D,Group D,M,Football,FBL,Bordeaux Stadium,FBLMTEAM11--PAR01,Paraguay,Team,PAR,Paraguay,0,POINTS,L,2
2024-07-24T22:05:10+02:00,FBLMTEAM11------------GPB-000200--,FBLMTEAM11,Men,Men's Group B,Group B,M,Football,FBL,Lyon Stadium,FBLMTEAM11--IRQ01,Iraq,Team,IRQ,Iraq,2,POINTS,W,1
2024-07-24T22:05:10+02:00,FBLMTEAM11------------GPB-000200--,FBLMTEAM11,Men,Men's Group B,Group B,M,Football,FBL,Lyon Stadium,FBLMTEAM11--UKR01,Ukraine,Team,UKR,Ukraine,1,POINTS,L,2
