date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,qualification_mark,start_order
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1912548,REILLY Kieran Darren David,Person,GBR,Great Britain,1.0,91.21,POINTS,Q,5
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1955074,CHRISTOPHER Marcus,Person,USA,United States,2.0,89.48,POINTS,Q,6
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1940117,MARTIN Logan,Person,AUS,Australia,3.0,89.39,POINTS,Q,4
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1955078,DOWELL Justin,Person,USA,United States,4.0,89.07,POINTS,Q,4
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1895685,JEANJEAN Anthony,Person,FRA,France,5.0,87.58,POINTS,Q,6
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1945766,NAKAMURA Rimu,Person,JPN,Japan,6.0,87.03,POINTS,Q,2
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1916809,TORRES GIL Jose,Person,ARG,Argentina,7.0,86.66,POINTS,Q,5
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1953471,BATISTA de OLIVEIRA Gustavo,Person,BRA,Brazil,8.0,85.79,POINTS,Q,1
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1947927,ZEBOLDS Ernests,Person,LAT,Latvia,9.0,84.94,POINTS,Q,3
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1966681,WHALEY Jeffrey,Person,CAN,Canada,10.0,78.51,POINTS,,2
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1894361,RANTES Marin,Person,CRO,Croatia,11.0,76.29,POINTS,,3
2024-07-30T16:39:52+02:00,BMFMINDVFRST----------QUAL--------,BMFMINDVFRST,Men's Park,Men's Park Qualification,Qualification,M,Cycling BMX Freestyle,BMF,La Concorde 2,1943608,LEYGONIE Vincent,Person,RSA,South Africa,12.0,75.85,POINTS,,1
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1916809,TORRES GIL Jose,Person,ARG,Argentina,1.0,94.82,POINTS,,3
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1912548,REILLY Kieran Darren David,Person,GBR,Great Britain,2.0,93.91,POINTS,,9
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1895685,JEANJEAN Anthony,Person,FRA,France,3.0,93.76,POINTS,,5
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1955074,CHRISTOPHER Marcus,Person,USA,United States,4.0,93.11,POINTS,,8
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1945766,NAKAMURA Rimu,Person,JPN,Japan,5.0,90.89,POINTS,,4
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1953471,BATISTA de OLIVEIRA Gustavo,Person,BRA,Brazil,6.0,90.20,POINTS,,2
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1955078,DOWELL Justin,Person,USA,United States,7.0,88.35,POINTS,,6
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1947927,ZEBOLDS Ernests,Person,LAT,Latvia,8.0,87.14,POINTS,,1
2024-07-31T15:27:30+02:00,BMFMINDVFRST----------FNL-000100--,BMFMINDVFRST,Men's Park,Men's Park Final,Final,M,Cycling BMX Freestyle,BMF,La Concorde 2,1940117,MARTIN Logan,Person,AUS,Australia,9.0,64.40,POINTS,,7
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1955100,ROBERTS Hannah,Person,USA,United States,1.0,91.45,POINTS,Q,6
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1920569,DENG Yawen,Person,CHN,China,2.0,91.03,POINTS,Q,5
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1920571,SUN Jiaqi,Person,CHN,China,3.0,87.83,POINTS,Q,2
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1955071,BENEGAS Perris,Person,USA,United States,4.0,85.44,POINTS,Q,1
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1946324,MICULYCOVA Iveta,Person,CZE,Czechia,5.0,84.46,POINTS,Q,5
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1543494,VILLEGAS SERNA Queen Saray,Person,COL,Colombia,6.0,84.42,POINTS,Q,3
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1934346,PEREZ GRASSET Macarena,Person,CHI,Chile,7.0,84.24,POINTS,Q,4
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1940118,DIEHM Natalya,Person,AUS,Australia,8.0,83.89,POINTS,Q,1
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1895709,PEREZ Laury,Person,FRA,France,9.0,83.26,POINTS,Q,3
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1976500,DUCARROZ Nikita,Person,SUI,Switzerland,10.0,79.78,POINTS,,6
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1912576,WORTHINGTON Charlotte Elizabeth,Person,GBR,Great Britain,11.0,79.01,POINTS,,2
2024-07-30T14:50:53+02:00,BMFWINDVFRST----------QUAL--------,BMFWINDVFRST,Women's Park,Women's Park Qualification,Qualification,W,Cycling BMX Freestyle,BMF,La Concorde 2,1889764,MUELLER Kim Lea,Person,GER,Germany,12.0,77.95,POINTS,,4
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1920569,DENG Yawen,Person,CHN,China,1.0,92.60,POINTS,,8
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1955071,BENEGAS Perris,Person,USA,United States,2.0,90.70,POINTS,,6
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1940118,DIEHM Natalya,Person,AUS,Australia,3.0,88.80,POINTS,,2
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1543494,VILLEGAS SERNA Queen Saray,Person,COL,Colombia,4.0,88.00,POINTS,,4
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1934346,PEREZ GRASSET Macarena,Person,CHI,Chile,5.0,84.55,POINTS,,3
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1946324,MICULYCOVA Iveta,Person,CZE,Czechia,6.0,82.30,POINTS,,5
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1920571,SUN Jiaqi,Person,CHN,China,7.0,70.80,POINTS,,7
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1955100,ROBERTS Hannah,Person,USA,United States,8.0,70.00,POINTS,,9
2024-07-31T14:01:20+02:00,BMFWINDVFRST----------FNL-000100--,BMFWINDVFRST,Women's Park,Women's Park Final,Final,W,Cycling BMX Freestyle,BMF,La Concorde 2,1895709,PEREZ Laury,Person,FRA,France,9.0,64.30,POINTS,,1
