date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-27T12:30:42+02:00,HBLMTEAM7-------------GPB-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,32,POINTS,L,1
2024-07-27T12:30:42+02:00,HBLMTEAM7-------------GPB-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,35,POINTS,W,2
2024-07-27T15:35:10+02:00,HBLMTEAM7-------------GPA-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---CRO01,Croatia,Team,CRO,Croatia,30,POINTS,W,1
2024-07-27T15:35:10+02:00,HBLMTEAM7-------------GPA-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---JPN01,Japan,Team,JPN,Japan,29,POINTS,L,2
2024-07-27T17:47:30+02:00,HBLMTEAM7-------------GPB-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,36,POINTS,W,1
2024-07-27T17:47:30+02:00,HBLMTEAM7-------------GPB-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,31,POINTS,L,2
2024-07-27T18:01:16+02:00,HBLMTEAM7-------------GPA-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ESP01,Spain,Team,ESP,Spain,25,POINTS,W,1
2024-07-27T18:01:16+02:00,HBLMTEAM7-------------GPA-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,22,POINTS,L,2
2024-07-27T20:42:11+02:00,HBLMTEAM7-------------GPA-000300--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---GER01,Germany,Team,GER,Germany,30,POINTS,W,1
2024-07-27T20:42:11+02:00,HBLMTEAM7-------------GPA-000300--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SWE01,Sweden,Team,SWE,Sweden,27,POINTS,L,2
2024-07-27T22:39:06+02:00,HBLMTEAM7-------------GPB-000300--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---DEN01,Denmark,Team,DEN,Denmark,37,POINTS,W,1
2024-07-27T22:39:06+02:00,HBLMTEAM7-------------GPB-000300--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---FRA01,France,Team,FRA,France,29,POINTS,L,2
2024-07-29T10:35:16+02:00,HBLMTEAM7-------------GPA-000400--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---JPN01,Japan,Team,JPN,Japan,26,POINTS,L,1
2024-07-29T10:35:16+02:00,HBLMTEAM7-------------GPA-000400--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---GER01,Germany,Team,GER,Germany,37,POINTS,W,2
2024-07-29T12:41:56+02:00,HBLMTEAM7-------------GPA-000500--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,31,POINTS,W,1
2024-07-29T12:41:56+02:00,HBLMTEAM7-------------GPA-000500--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---CRO01,Croatia,Team,CRO,Croatia,29,POINTS,L,2
2024-07-29T17:35:38+02:00,HBLMTEAM7-------------GPA-000600--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SWE01,Sweden,Team,SWE,Sweden,29,POINTS,W,1
2024-07-29T17:35:38+02:00,HBLMTEAM7-------------GPA-000600--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ESP01,Spain,Team,ESP,Spain,26,POINTS,L,2
2024-07-29T18:06:57+02:00,HBLMTEAM7-------------GPB-000400--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,27,POINTS,L,1
2024-07-29T18:06:57+02:00,HBLMTEAM7-------------GPB-000400--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---DEN01,Denmark,Team,DEN,Denmark,30,POINTS,W,2
2024-07-29T20:35:13+02:00,HBLMTEAM7-------------GPB-000500--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---FRA01,France,Team,FRA,France,22,POINTS,L,1
2024-07-29T20:35:13+02:00,HBLMTEAM7-------------GPB-000500--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,27,POINTS,W,2
2024-07-29T22:43:42+02:00,HBLMTEAM7-------------GPB-000600--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,25,POINTS,L,1
2024-07-29T22:43:42+02:00,HBLMTEAM7-------------GPB-000600--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,35,POINTS,W,2
2024-07-31T10:33:30+02:00,HBLMTEAM7-------------GPB-000700--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,26,POINTS,W,1
2024-07-31T10:33:30+02:00,HBLMTEAM7-------------GPB-000700--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,25,POINTS,L,2
