date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-000400--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1972368,KOKAURI Ushangi,Person,AZE,Azerbaijan,10,POINTS,W,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-000400--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1953836,SILVA Rafael,Person,BRA,Brazil,0,POINTS,L,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-001200--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1564559,TAKAYAWA Gerard,Person,FIJ,Fiji,0,POINTS,L,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-001200--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1568813,FIZEL Marius,Person,SVK,Slovakia,10,POINTS,W,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-001400--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1937666,NDIAYE Mbagnick,Person,SEN,Senegal,10,POINTS,W,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-001400--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1949777,MANE Bubacar,Person,GBS,Guinea-Bissau,0,POINTS,L,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-000800--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1925750,KRPALEK Lukas,Person,CZE,Czechia,10,POINTS,W,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-000800--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1966768,SNIPPE Jelle,Person,NED,Netherlands,0,POINTS,L,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-000200--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1570012,TATAROGLU Ibrahim,Person,TUR,Türkiye,11,POINTS,W,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-000200--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1980882,MARINIC Enej,Person,SLO,Slovenia,0,POINTS,L,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-001000--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1563099,ABRAMOV Erik,Person,GER,Germany,1,POINTS,W,
2024-08-02T10:50:18+02:00,JUDMO100KG------------R32-001000--,JUDMO100KG,Men +100 kg,Men +100 kg Elimination Round of 32,Elimination Round of 32,M,Judo,JUD,Champ-de-Mars Arena,1914295,ODKHUU Tsetsentsengel,Person,MGL,Mongolia,0,POINTS,L,
