Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Male,PhD,Divorced,72799.0,688.0,45713.0,Business,Unemployed,19,Poor,0.15431329631270066,120228.0,0.0,Port Elizabeth,AS,Cyprus,2.0,2,Low
57,Female,Bachelor's,Widowed,,690.0,33835.0,Auto,Employed,6,Fair,0.14891964322471593,55849.0,0.0,North Catherine,OH,Turkmenistan,3.0,2,Medium
21,Non-binary,Master's,Single,55687.0,600.0,36623.0,Home,Employed,8,Fair,0.36239801732546084,180700.0,3.0,South Scott,OK,Luxembourg,3.0,2,Medium
59,Male,Bachelor's,Single,26508.0,622.0,26541.0,Personal,Unemployed,2,Excellent,0.45496438073379486,157319.0,3.0,Robinhaven,PR,Uganda,4.0,2,Medium
25,Non-binary,Bachelor's,Widowed,49427.0,766.0,36528.0,Personal,Unemployed,10,Fair,0.14324242402046136,287140.0,,New Heather,IL,Namibia,3.0,1,Low
30,Non-binary,PhD,Divorced,,717.0,15613.0,Business,Unemployed,5,Fair,0.2959844500430854,,4.0,Brianland,TN,Iceland,3.0,1,Medium
31,Non-binary,Master's,Widowed,45280.0,672.0,6553.0,Personal,Self-employed,1,Good,0.37888993741531785,,,West Lindaview,MD,Bouvet Island (Bouvetoya),0.0,1,Low
18,Male,Bachelor's,Widowed,93678.0,,,Business,Unemployed,10,Poor,0.3966357236164678,246597.0,1.0,Melissahaven,MA,Honduras,1.0,1,Low
32,Non-binary,Bachelor's,Widowed,20205.0,710.0,,Auto,Unemployed,4,Fair,0.335964977578598,227599.0,0.0,North Beverly,DC,Pitcairn Islands,4.0,2,Low
55,Male,Bachelor's,Married,32190.0,600.0,29918.0,Personal,Self-employed,5,Excellent,0.48433330455936785,130507.0,4.0,Davidstad,VT,Thailand,,2,Low
42,Non-binary,Master's,Single,116212.0,707.0,24771.0,Home,Employed,11,Excellent,0.11413374759829523,212198.0,3.0,Matthewborough,NH,French Guiana,0.0,2,Medium
37,Non-binary,Master's,Divorced,78855.0,718.0,,Home,Self-employed,17,Poor,0.19392128861142002,272522.0,,Orrstad,OH,Antarctica (the territory South of 60 deg S),3.0,2,Low
60,Female,PhD,Divorced,,686.0,15497.0,Personal,Self-employed,18,Poor,0.32817470742252786,47603.0,4.0,West Kelseymouth,NM,Eritrea,2.0,2,High
68,Male,High School,Divorced,79454.0,688.0,43365.0,Personal,Self-employed,15,Good,0.32928154385036545,61967.0,,Dakotafurt,IA,Grenada,3.0,0,Medium
29,Male,High School,Divorced,119510.0,,5013.0,Auto,Employed,17,Poor,0.49972186119334105,50568.0,,Deborahtown,AZ,Solomon Islands,2.0,2,Medium
68,Female,PhD,Divorced,,,42951.0,Auto,Self-employed,6,Fair,0.5507459353458977,67070.0,4.0,East Kristin,MH,Guadeloupe,2.0,2,Low
55,Male,High School,Married,70978.0,706.0,36970.0,Personal,Unemployed,19,Excellent,0.26694090925040004,54041.0,3.0,Christophermouth,MO,Tonga,1.0,0,Medium
18,Female,Master's,Widowed,102628.0,654.0,25442.0,Home,Unemployed,8,Poor,0.1618325788225118,,3.0,West Patrick,IA,Taiwan,1.0,2,Medium
60,Non-binary,Bachelor's,Divorced,,738.0,37001.0,Business,Employed,7,Fair,0.33897097318669367,53055.0,,Johnsonstad,MS,Malawi,1.0,2,Low
