date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,bib
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1903136,EVENEPOEL Remco,Person,BEL,Belgium,1.0,36:12.16,TIME,,+0.00,1
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1923520,GANNA Filippo,Person,ITA,Italy,2.0,36:27.08,TIME,,+14.92,2
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1903147,van AERT Wout,Person,BEL,Belgium,3.0,36:37.79,TIME,,+25.63,11
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1912562,TARLING Josh,Person,GBR,Great Britain,4.0,36:39.95,TIME,,+27.79,5
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1955094,McNULTY Brandon,Person,USA,United States,5.0,37:16.60,TIME,,+1:04.44,3
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1976449,BISSEGGER Stefan,Person,SUI,Switzerland,6.0,37:38.57,TIME,,+1:26.41,14
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1933810,OLIVEIRA Nelson,Person,POR,Portugal,7.0,37:43.15,TIME,,+1:30.99,6
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1977695,KUENG Stefan,Person,SUI,Switzerland,8.0,37:47.67,TIME,,+1:35.51,4
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1889758,SCHACHMANN Maximilian,Person,GER,Germany,9.0,37:50.71,TIME,,+1:38.55,12
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1879164,BJERG Mikkel Norsgaard,Person,DEN,Denmark,10.0,37:55.32,TIME,,+1:43.16,7
