date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000400--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 4",Heat 4,M,Cycling Track,CTR,National Velodrome,1898251,YAKOVLEV Mikhail,Person,ISR,Israel,1.0,,TIME,,,Q1/4,4,176
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000400--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 4",Heat 4,M,Cycling Track,CTR,National Velodrome,1543498,QUINTERO CHAVARRO Kevin Santiago,Person,COL,Colombia,2.0,,TIME,,+0.330,Q1/4,4,123
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000400--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 4",Heat 4,M,Cycling Track,CTR,National Velodrome,1912790,BROWNE Kwesi,Person,TTO,Trinidad and Tobago,3.0,,TIME,,+0.427,R,4,241
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000400--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 4",Heat 4,M,Cycling Track,CTR,National Velodrome,1918609,ANGSUTHASAWIT Jai,Person,THA,Thailand,4.0,,TIME,,+0.510,R,4,240
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000400--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 4",Heat 4,M,Cycling Track,CTR,National Velodrome,1966697,WAMMES Nick,Person,CAN,Canada,5.0,,TIME,,+0.618,R,4,106
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000400--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 4",Heat 4,M,Cycling Track,CTR,National Velodrome,1889773,SPIEGEL Luca,Person,GER,Germany,6.0,,TIME,,+0.767,R,4,165
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000500--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 5",Heat 5,M,Cycling Track,CTR,National Velodrome,1912786,PAUL Nicholas,Person,TTO,Trinidad and Tobago,1.0,,TIME,,,Q1/4,5,242
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000500--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 5",Heat 5,M,Cycling Track,CTR,National Velodrome,1572958,RUDYK Mateusz,Person,POL,Poland,2.0,,TIME,,+0.023,Q1/4,5,229
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000500--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 5",Heat 5,M,Cycling Track,CTR,National Velodrome,1543501,ORTEGA FONTALVO Cristian David,Person,COL,Colombia,3.0,,TIME,,+0.449,R,5,122
2024-08-10T18:01:39+02:00,CTRMKEIRIN------------RND1000500--,CTRMKEIRIN,Men's Keirin,"Men's Keirin, First Round - Heat 5",Heat 5,M,Cycling Track,CTR,National Velodrome,1945073,DAKIN Sam,Person,NZL,New Zealand,4.0,,TIME,,+0.510,R,5,216
