date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,qualification_mark,start_order,bib
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1956356,MIKEC Damir,Person,SRB,Serbia,1.0,584,POINTS,,Q,25,1823
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1551388,MALDINI Federico Nilo,Person,ITA,Italy,2.0,581,POINTS,,Q,7,1498
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1553255,REITZ Christian,Person,GER,Germany,3.0,580,POINTS,,Q,3,1381
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1893958,LEE Wonho,Person,KOR,Korea,4.0,580,POINTS,,Q,4,1554
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1551387,MONNA Paolo,Person,ITA,Italy,5.0,579,POINTS,,Q,26,1500
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1913907,XIE Yu,Person,CHN,China,6.0,579,POINTS,,Q,24,1168
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1970546,ENKHTAIVAN Davaakhuu,Person,MGL,Mongolia,7.0,578,POINTS,,Q,1,1642
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1553299,WALTER Robin,Person,GER,Germany,8.0,577,POINTS,,Q,27,1383
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1545464,SINGH Sarabjot,Person,IND,India,9.0,577,POINTS,,,21,1449
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1564882,KELES Ismail,Person,TUR,Türkiye,10.0,577,POINTS,,,10,1916
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1555983,BANKIN Viktor,Person,UKR,Ukraine,11.0,576,POINTS,,,33,1933
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1555977,KOROSTYLOV Pavlo,Person,UKR,Ukraine,12.0,576,POINTS,,,13,1935
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1564893,DIKEC Yusuf,Person,TUR,Türkiye,13.0,576,POINTS,,,32,1915
2024-07-27T11:59:19+02:00,SHOMAPM---------------QUAL000100--,SHOMAPM,10m Air Pistol Men,10m Air Pistol Men's Qualification,Qualification,M,Shooting,SHO,Chateauroux Shooting Ctr,1893852,CHO Yeongjae,Person,KOR,Korea,14.0,575,POINTS,,,28,1551
