date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,qualification_mark,start_order
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1937347,LITVINOVICH Ivan,Person,AIN,AIN,1.0,63.420,POINTS,,Q,13
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1918790,WANG Zisai,Person,CHN,China,2.0,62.230,POINTS,1.190,Q,14
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1918789,YAN Langyu,Person,CHN,China,3.0,62.220,POINTS,1.200,Q,15
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1891003,SCHMIDT Dylan,Person,NZL,New Zealand,4.0,60.810,POINTS,2.610,Q,12
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1938928,ALBUQUERQUE Gabriel,Person,POR,Portugal,5.0,59.750,POINTS,3.670,Q,16
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1903521,GOUZOU Pierre,Person,FRA,France,6.0,59.100,POINTS,4.320,Q,8
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1904746,PERZAMANOS Zak,Person,GBR,Great Britain,7.0,59.030,POINTS,4.390,Q,9
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1543408,HERNANDEZ Angel,Person,COL,Colombia,8.0,58.640,POINTS,4.780,Q,1
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1927552,MUSSABAYEV Danil,Person,KAZ,Kazakhstan,9.0,58.070,POINTS,5.350,R1,3
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1959778,SHOSTAK Aliaksei,Person,USA,United States,10.0,57.350,POINTS,6.070,R2,5
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1896212,VOGEL Fabian,Person,GER,Germany,11.0,56.890,POINTS,6.530,,6
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1953709,DUTRA Rayan,Person,BRA,Brazil,12.0,56.370,POINTS,7.050,,7
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1968316,BATTY Brock,Person,AUS,Australia,13.0,55.890,POINTS,7.530,,2
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1935820,VEGA David,Person,ESP,Spain,14.0,55.620,POINTS,7.800,,4
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1566341,WIZANI Benny,Person,AUT,Austria,15.0,54.990,POINTS,8.430,,11
2024-08-02T19:37:20+02:00,GTRM1TRA--------------QUAL000001--,GTRM1TRA,Men,Men's Qualification,Qualification,M,Trampoline Gymnastics,GTR,Bercy Arena,1919616,NISHIOKA Ryusei,Person,JPN,Japan,16.0,35.750,POINTS,27.670,,10
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1937347,LITVINOVICH Ivan,Person,AIN,AIN,1.0,63.090,POINTS,,,7
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1918790,WANG Zisai,Person,CHN,China,2.0,61.890,POINTS,1.200,,3
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1918789,YAN Langyu,Person,CHN,China,3.0,60.950,POINTS,2.140,,4
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1904746,PERZAMANOS Zak,Person,GBR,Great Britain,4.0,59.840,POINTS,3.250,,1
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1938928,ALBUQUERQUE Gabriel,Person,POR,Portugal,5.0,59.740,POINTS,3.350,,8
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1903521,GOUZOU Pierre,Person,FRA,France,6.0,58.940,POINTS,4.150,,6
