date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2024-07-27T22:38:19+02:00,VVOMTEAM6-------------GPC-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,1
2024-07-27T22:38:19+02:00,VVOMTEAM6-------------GPC-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ARG01,Argentina,Team,ARG,Argentina,0,POINTS,L,2
2024-07-30T10:21:58+02:00,VVOMTEAM6-------------GPB-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,1
2024-07-30T10:21:58+02:00,VVOMTEAM6-------------GPB-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---EGY01,Egypt,Team,EGY,Egypt,0,POINTS,L,2
2024-07-30T15:11:20+02:00,VVOMTEAM6-------------GPC-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,1
2024-07-30T15:11:20+02:00,VVOMTEAM6-------------GPC-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---GER01,Germany,Team,GER,Germany,2,POINTS,L,2
2024-07-31T11:32:47+02:00,VVOMTEAM6-------------GPB-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---POL01,Poland,Team,POL,Poland,3,POINTS,W,1
2024-07-31T11:32:47+02:00,VVOMTEAM6-------------GPB-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---BRA01,Brazil,Team,BRA,Brazil,2,POINTS,L,2
2024-07-31T15:08:03+02:00,VVOMTEAM6-------------GPC-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---JPN01,Japan,Team,JPN,Japan,2,POINTS,L,1
2024-07-31T15:08:03+02:00,VVOMTEAM6-------------GPC-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---GER01,Germany,Team,GER,Germany,3,POINTS,W,2
2024-07-31T15:12:41+02:00,VVOMTEAM6-------------GPB-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---POL01,Poland,Team,POL,Poland,3,POINTS,W,1
2024-07-31T15:12:41+02:00,VVOMTEAM6-------------GPB-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---EGY01,Egypt,Team,EGY,Egypt,0,POINTS,L,2
2024-07-31T15:17:37+02:00,VVOMTEAM6-------------GPA-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---SLO01,Slovenia,Team,SLO,Slovenia,3,POINTS,W,1
2024-07-31T15:17:37+02:00,VVOMTEAM6-------------GPA-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---CAN01,Canada,Team,CAN,Canada,1,POINTS,L,2
2024-08-01T14:55:26+02:00,VVOMTEAM6-------------GPA-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---FRA01,France,Team,FRA,France,3,POINTS,W,1
2024-08-01T14:55:26+02:00,VVOMTEAM6-------------GPA-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---SRB01,Serbia,Team,SRB,Serbia,2,POINTS,L,2
2024-08-01T15:21:55+02:00,VVOMTEAM6-------------GPA-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---SLO01,Slovenia,Team,SLO,Slovenia,3,POINTS,W,1
2024-08-01T15:21:55+02:00,VVOMTEAM6-------------GPA-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---SRB01,Serbia,Team,SRB,Serbia,0,POINTS,L,2
2024-08-02T10:19:51+02:00,VVOMTEAM6-------------GPC-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ARG01,Argentina,Team,ARG,Argentina,0,POINTS,L,1
2024-08-02T10:19:51+02:00,VVOMTEAM6-------------GPC-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---GER01,Germany,Team,GER,Germany,3,POINTS,W,2
2024-08-02T14:16:43+02:00,VVOMTEAM6-------------GPB-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---BRA01,Brazil,Team,BRA,Brazil,3,POINTS,W,1
2024-08-02T14:16:43+02:00,VVOMTEAM6-------------GPB-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---EGY01,Egypt,Team,EGY,Egypt,0,POINTS,L,2
2024-08-02T19:31:50+02:00,VVOMTEAM6-------------GPA-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---FRA01,France,Team,FRA,France,2,POINTS,L,1
